,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,9,13,14,1,-1,14,17,8,6,8,10,8,11,15,14,9,18,6,9
alligator,alligator,0,0,13,13,10,-1,12,8,18,7,14,19,16,6,12,11,10,13,12,11
boa,boa,0,0,0,18,14,-1,11,16,14,13,9,13,12,9,19,11,8,19,11,8
cobra,cobra,0,0,0,0,3,-1,12,9,11,13,8,13,13,6,18,12,7,19,11,4
dinosaurus,dinosaur,0,0,0,0,0,-1,9,1,12,3,4,11,9,3,9,9,7,10,13,6
gekko,gecko,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hagedis,lizard,0,0,0,0,0,0,0,13,11,15,9,11,15,8,7,16,11,11,11,11
hazelworm,blindworm,0,0,0,0,0,0,0,0,3,5,5,8,10,8,10,13,8,17,9,7
kaaiman,caiman,0,0,0,0,0,0,0,0,0,12,7,19,3,3,12,13,12,10,14,12
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,12,12,15,5,11,14,9,11,15,4
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,11,8,19,11,11,14,11,9,11
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,13,11,11,8,11,11,11,9
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,16,11,14,11
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,13,11,9,16
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,19,10,4
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14,8
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
