,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,14,18,16,6,8,13,-1,9,15,11,11,11,11,18,12,9,18,-1,11
alligator,alligator,0,0,15,12,13,11,14,-1,16,13,11,16,13,7,14,13,9,11,-1,7
boa,boa,0,0,0,18,8,7,15,-1,13,13,8,11,15,6,18,9,10,17,-1,8
cobra,cobra,0,0,0,0,5,8,13,-1,12,8,4,13,12,6,18,12,8,17,-1,9
dinosaurus,dinosaur,0,0,0,0,0,12,12,-1,13,11,6,14,11,12,6,15,13,10,-1,12
gekko,gecko,0,0,0,0,0,0,17,-1,15,15,8,13,13,12,12,17,12,8,-1,11
hagedis,lizard,0,0,0,0,0,0,0,-1,15,14,11,12,13,13,12,17,7,14,-1,6
hazelworm,blindworm,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
kaaiman,caiman,0,0,0,0,0,0,0,0,0,12,11,15,16,13,9,17,11,13,-1,12
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,16,11,11,10,11,16,9,9,-1,13
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,7,6,17,9,11,11,11,-1,11
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,8,8,9,-1,12
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,17,12,14,-1,13
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,15,9,-1,6
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,18,-1,14
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,-1,13
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,17
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
