,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,9,17,16,11,9,11,12,14,9,8,9,9,11,14,10,8,20,-1,11
alligator,alligator,0,0,11,9,17,11,11,6,18,11,11,18,11,10,9,12,10,10,-1,9
boa,boa,0,0,0,19,11,10,9,12,12,11,9,9,9,10,16,9,8,20,-1,9
cobra,cobra,0,0,0,0,10,10,10,14,10,6,8,10,9,10,16,10,10,20,-1,8
dinosaurus,dinosaur,0,0,0,0,0,13,13,9,12,16,12,17,13,9,10,11,11,10,-1,14
gekko,gecko,0,0,0,0,0,0,15,7,10,12,10,9,12,9,10,13,8,13,-1,10
hagedis,lizard,0,0,0,0,0,0,0,8,12,11,12,11,10,11,9,17,9,9,-1,11
hazelworm,blindworm,0,0,0,0,0,0,0,0,8,7,7,9,9,11,13,10,7,15,-1,8
kaaiman,caiman,0,0,0,0,0,0,0,0,0,11,9,18,14,10,10,12,9,10,-1,10
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,11,10,11,9,9,11,10,9,-1,11
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,11,10,19,9,17,11,9,-1,9
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,12,14,11,12,10,13,-1,8
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,8,10,-1,11
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,10,-1,11
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,20,-1,9
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,-1,11
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,20
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
