,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,5,14,16,4,-1,4,18,3,4,3,4,3,4,14,4,3,18,4,4
alligator,alligator,0,0,4,4,10,-1,8,4,20,10,4,20,12,4,5,4,4,4,12,3
boa,boa,0,0,0,18,4,-1,4,14,4,4,3,4,4,3,17,4,3,20,4,4
cobra,cobra,0,0,0,0,4,-1,4,16,4,5,2,4,4,4,18,4,3,20,4,4
dinosaurus,dinosaur,0,0,0,0,0,-1,4,3,5,5,3,5,3,4,6,5,4,4,4,4
gekko,gecko,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hagedis,lizard,0,0,0,0,0,0,0,3,7,15,4,13,15,4,5,18,5,5,13,3
hazelworm,blindworm,0,0,0,0,0,0,0,0,4,4,3,4,4,3,12,4,3,15,4,4
kaaiman,caiman,0,0,0,0,0,0,0,0,0,8,3,20,6,3,4,12,4,4,4,5
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,3,7,9,4,6,15,4,4,14,4
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,4,4,18,2,4,4,3,4,5
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,8,4,3,10,4
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,4,4,15,4
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,4
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,20,4,3
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,4
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,19
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
