,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,14,13,11,15,6,16,2,8,5,6,9,11,11,13,9,10,18,10,9
alligator,alligator,0,0,13,12,19,14,11,-1,12,12,12,17,10,9,10,12,12,15,12,10
boa,boa,0,0,0,16,14,4,14,9,5,4,5,9,11,12,13,10,10,16,10,5
cobra,cobra,0,0,0,0,13,8,8,2,6,5,5,9,10,10,17,14,8,19,13,6
dinosaurus,dinosaur,0,0,0,0,0,16,16,2,15,17,12,18,12,12,7,16,17,14,15,17
gekko,gecko,0,0,0,0,0,0,17,2,2,14,12,12,12,8,5,16,5,10,14,9
hagedis,lizard,0,0,0,0,0,0,0,2,13,15,10,8,14,2,14,12,9,14,15,6
hazelworm,blindworm,0,0,0,0,0,0,0,0,2,1,1,2,2,2,9,2,2,2,-1,2
kaaiman,caiman,0,0,0,0,0,0,0,0,0,15,10,17,12,9,14,12,16,7,10,16
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,5,15,12,4,4,8,13,13,14,4
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,13,12,17,10,13,14,15,11,12
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,15,14,13,12,12,15,14,10
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,11,12,12,17,12
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,16,10,12,10
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,18,14,4
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,15,13
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,18
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
