,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,13,18,18,14,14,13,17,8,11,14,12,11,14,16,13,11,20,12,12
alligator,alligator,0,0,9,12,15,13,14,11,19,15,14,19,14,13,13,16,13,14,16,11
boa,boa,0,0,0,16,13,11,14,13,12,12,12,14,12,12,16,14,12,20,13,10
cobra,cobra,0,0,0,0,14,14,15,15,13,11,14,14,14,11,18,14,12,20,12,11
dinosaurus,dinosaur,0,0,0,0,0,15,19,5,15,14,14,15,15,14,14,17,14,12,18,12
gekko,gecko,0,0,0,0,0,0,20,12,12,15,15,14,15,14,14,19,14,13,16,12
hagedis,lizard,0,0,0,0,0,0,0,15,15,15,15,15,16,15,14,19,15,14,16,14
hazelworm,blindworm,0,0,0,0,0,0,0,0,11,12,12,4,12,12,15,12,12,19,12,10
kaaiman,caiman,0,0,0,0,0,0,0,0,0,13,14,19,15,14,12,15,14,15,14,13
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,12,14,14,13,13,15,13,11,15,11
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,14,10,18,11,15,14,10,13,15
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,13,12,10,14,13
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,16,7,14,16,15
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,15,13,13,16
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,20,10,12
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,19,14
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,18
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
