,exemplar ENGLISH,viper,alligator,boa,cobra,dinosaur,gecko,lizard,blindworm,caiman,chameleon,frog,crocodile,iguana,toad,python,salamander,tortoise,snake,monitor lizard,turtle
exemplar DUTCH,,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad (dier),python,salamander,schildpad,slang,varaan,waterschildpad
adder,viper,0,8,14,13,2,-1,11,16,-1,10,8,7,10,6,10,10,8,9,7,6
alligator,alligator,0,0,11,10,13,-1,9,1,-1,1,8,19,9,6,8,8,11,11,11,9
boa,boa,0,0,0,19,2,-1,8,7,-1,10,9,8,11,9,19,11,7,20,10,7
cobra,cobra,0,0,0,0,7,-1,6,7,-1,7,9,9,11,8,18,8,10,20,10,10
dinosaurus,dinosaur,0,0,0,0,0,-1,7,1,-1,8,7,12,7,6,9,6,10,1,12,7
gekko,gecko,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hagedis,lizard,0,0,0,0,0,0,0,11,-1,11,16,14,15,16,7,17,13,15,11,12
hazelworm,blindworm,0,0,0,0,0,0,0,0,-1,4,8,2,4,11,6,6,5,10,3,4
kaaiman,caiman,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
kameleon,chameleon,0,0,0,0,0,0,0,0,0,0,13,9,15,9,12,13,12,10,14,7
kikker,frog,0,0,0,0,0,0,0,0,0,0,0,9,7,19,9,12,12,6,8,10
krokodil,crocodile,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,9,9,10,7,9
leguaan,iguana,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,10,12,16,9
pad (dier),toad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,10,8,8,10
python,python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,19,9,9
salamander,salamander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,13,8
schildpad,tortoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,19
slang,snake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
varaan,monitor lizard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
waterschildpad,turtle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
