,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,6,4,3,8,13,12,18,12,4,18,17,5,1,12,18,3,16,3,5
bijl,axe,0,0,6,17,14,9,7,7,7,16,5,3,17,15,17,17,13,7,14,6
boksbeugel,knuckle dusters,0,0,0,2,12,11,7,1,6,14,6,12,2,2,4,4,1,12,8,6
boog,bow,0,0,0,0,12,5,18,7,9,13,1,7,17,10,13,5,15,3,17,7
dolk,dagger,0,0,0,0,0,12,1,7,5,15,5,13,16,16,15,5,11,11,18,14
geweer,rifle,0,0,0,0,0,0,15,8,6,11,17,18,6,4,16,16,7,17,11,4
granaat,grenade,0,0,0,0,0,0,0,15,5,14,17,1,3,6,10,14,5,14,5,2
kanon,canon,0,0,0,0,0,0,0,0,8,4,1,17,4,8,6,18,6,1,7,8
katapult,slingshot,0,0,0,0,0,0,0,0,0,8,6,5,7,4,17,8,17,2,9,14
knuppel,club,0,0,0,0,0,0,0,0,0,0,16,13,18,16,19,9,16,16,14,5
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,13,2,9,12,19,6,16,7,4
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,5,11,5,13,4,16,12,11
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,16,3,3,19,4
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,13,8,13,5
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,13,16
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,7,7
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,18
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
