,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,1,2,1,1,1,5,16,4,1,9,2,1,1,1,13,2,1,3,1
bijl,axe,0,0,4,8,10,1,1,2,1,4,1,5,1,8,3,6,8,5,4,5
boksbeugel,knuckle dusters,0,0,0,2,5,6,2,2,5,5,1,4,9,2,4,1,3,4,4,4
boog,bow,0,0,0,0,5,2,3,1,9,10,2,8,12,8,2,1,10,2,5,2
dolk,dagger,0,0,0,0,0,2,9,1,5,5,5,2,2,9,2,1,5,2,5,5
geweer,rifle,0,0,0,0,0,0,9,4,4,1,6,13,4,5,1,9,2,17,4,4
granaat,grenade,0,0,0,0,0,0,0,11,2,5,9,9,9,1,2,8,2,10,4,1
kanon,canon,0,0,0,0,0,0,0,0,1,2,8,8,2,1,1,16,2,2,8,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,5,1,2,5,5,1,5,7,2,10,2
knuppel,club,0,0,0,0,0,0,0,0,0,0,1,1,2,10,6,2,6,2,7,2
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,15,1,3,4,18,2,5,4,4
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,9,2,16,5,1
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,2,11,2
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,4,8,8
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,9
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
