,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,2,2,2,2,5,1,5,3,3,1,1,2,3,1,3,2,4,2,2
bijl,axe,0,0,5,2,3,2,2,2,4,5,1,2,2,3,3,2,2,1,2,5
boksbeugel,knuckle dusters,0,0,0,2,2,2,8,2,1,3,2,1,2,1,2,3,8,2,5,4
boog,bow,0,0,0,0,2,2,2,2,2,1,1,2,1,2,1,2,5,3,2,6
dolk,dagger,0,0,0,0,0,5,2,1,3,2,1,2,2,2,3,1,2,3,2,2
geweer,rifle,0,0,0,0,0,0,3,2,2,2,2,18,3,3,1,2,3,10,3,2
granaat,grenade,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,2,2,2
kanon,canon,0,0,0,0,0,0,0,0,2,5,2,2,3,2,2,2,2,4,5,2
katapult,slingshot,0,0,0,0,0,0,0,0,0,2,4,3,2,1,2,1,5,5,2,2
knuppel,club,0,0,0,0,0,0,0,0,0,0,2,5,2,1,2,2,2,1,5,2
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,15,2,3,1,2,2,3,2,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,10,2,5
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,4
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,5
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
