,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,5,4,3,5,9,6,14,10,6,9,10,2,4,5,10,4,10,6,4
bijl,axe,0,0,7,4,12,6,7,4,5,12,6,5,5,7,9,6,4,5,10,4
boksbeugel,knuckle dusters,0,0,0,4,8,4,4,7,5,8,6,4,3,4,6,6,7,5,7,5
boog,bow,0,0,0,0,5,4,3,8,9,5,5,8,2,7,8,5,8,8,7,10
dolk,dagger,0,0,0,0,0,6,4,3,6,9,6,5,2,11,12,3,5,4,13,6
geweer,rifle,0,0,0,0,0,0,5,11,6,8,14,15,4,8,5,6,6,16,6,4
granaat,grenade,0,0,0,0,0,0,0,7,5,6,7,8,3,4,6,2,3,4,5,6
kanon,canon,0,0,0,0,0,0,0,0,10,3,9,8,2,8,7,10,4,10,4,8
katapult,slingshot,0,0,0,0,0,0,0,0,0,9,9,7,8,13,8,8,9,6,7,11
knuppel,club,0,0,0,0,0,0,0,0,0,0,7,8,5,8,11,3,6,8,12,11
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,9,4,7,7,8,7,10,7,7
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,8,3,12,6,5
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,5,6,4,4
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,7,8,7
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,9,8
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,17
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
