,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,14,16,8,12,16,18,17,18,14,18,14,7,12,8,17,7,14,5,12
bijl,axe,0,0,16,17,18,14,12,16,16,18,10,12,18,18,18,16,10,12,18,17
boksbeugel,knuckle dusters,0,0,0,12,18,13,17,12,11,16,18,18,12,10,12,15,11,11,14,13
boog,bow,0,0,0,0,19,14,17,16,17,11,13,15,19,19,10,17,18,13,18,15
dolk,dagger,0,0,0,0,0,14,12,14,17,18,16,15,19,19,12,11,12,12,19,17
geweer,rifle,0,0,0,0,0,0,17,14,17,14,18,16,15,18,13,13,17,19,12,14
granaat,grenade,0,0,0,0,0,0,0,18,16,14,15,19,14,13,12,18,8,16,12,12
kanon,canon,0,0,0,0,0,0,0,0,18,11,18,17,17,14,12,18,13,15,11,7
katapult,slingshot,0,0,0,0,0,0,0,0,0,16,17,6,15,19,14,16,17,18,16,16
knuppel,club,0,0,0,0,0,0,0,0,0,0,14,17,18,18,20,12,17,16,13,13
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,19,10,16,12,19,7,18,15,11
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,13,14,14,18,14,17,14,16
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,13,14,11,20,17
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,12,11,17,11
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,17,16
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,16,11
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,18
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
