,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,4,4,4,5,15,5,10,2,5,2,14,2,2,2,2,2,5,5,5
bijl,axe,0,0,2,4,12,5,6,5,5,14,10,5,2,3,2,5,6,5,18,5
boksbeugel,knuckle dusters,0,0,0,2,6,2,5,2,5,17,6,2,3,2,5,2,2,2,5,2
boog,bow,0,0,0,0,2,4,2,14,17,2,5,2,3,2,6,2,5,3,5,4
dolk,dagger,0,0,0,0,0,17,2,2,2,3,5,2,8,13,14,5,2,8,18,5
geweer,rifle,0,0,0,0,0,0,5,15,11,4,5,18,5,10,5,1,2,15,4,5
granaat,grenade,0,0,0,0,0,0,0,2,9,2,5,1,2,2,2,2,3,2,10,2
kanon,canon,0,0,0,0,0,0,0,0,3,2,3,4,6,2,6,5,2,2,5,5
katapult,slingshot,0,0,0,0,0,0,0,0,0,2,5,3,5,5,14,5,2,2,5,5
knuppel,club,0,0,0,0,0,0,0,0,0,0,3,2,2,5,14,1,2,2,6,5
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,5,4,6,18,2,2,14,14,5
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,17,5,10
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,5,8,4
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,3,2,5,5
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,6
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
