,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,5,5,4,5,9,15,14,8,3,10,5,3,2,2,9,1,14,8,3
bijl,axe,0,0,2,4,4,5,3,2,3,10,3,3,5,6,5,3,2,4,9,4
boksbeugel,knuckle dusters,0,0,0,9,6,8,2,2,10,2,2,2,3,12,2,3,3,2,7,4
boog,bow,0,0,0,0,4,9,1,9,9,1,8,8,3,10,9,3,2,10,4,1
dolk,dagger,0,0,0,0,0,10,2,4,3,3,6,11,6,4,8,3,3,4,5,3
geweer,rifle,0,0,0,0,0,0,10,10,10,2,9,15,2,9,4,8,1,18,2,2
granaat,grenade,0,0,0,0,0,0,0,9,8,1,12,6,1,9,8,12,1,8,4,2
kanon,canon,0,0,0,0,0,0,0,0,8,2,8,9,3,2,4,17,1,9,2,2
katapult,slingshot,0,0,0,0,0,0,0,0,0,4,9,8,2,5,2,7,3,3,6,3
knuppel,club,0,0,0,0,0,0,0,0,0,0,2,2,4,6,15,2,2,3,2,9
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,10,2,5,3,6,4,8,5,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,9,2,10,3,2
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,4,1,6,3
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,3,8,1
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,5,8
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
