,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,3,2,2,2,12,8,3,2,2,8,3,4,1,4,5,1,5,2,2
bijl,axe,0,0,2,3,2,3,1,1,2,7,2,3,3,4,5,5,1,2,1,3
boksbeugel,knuckle dusters,0,0,0,1,2,1,3,3,1,3,1,3,3,3,1,1,1,3,2,1
boog,bow,0,0,0,0,6,3,1,1,2,5,1,4,8,8,5,3,1,2,3,1
dolk,dagger,0,0,0,0,0,4,2,4,2,2,2,5,8,6,4,6,1,6,16,2
geweer,rifle,0,0,0,0,0,0,2,2,2,3,15,20,4,3,4,3,2,15,3,2
granaat,grenade,0,0,0,0,0,0,0,2,3,2,5,3,4,3,1,8,1,2,1,3
kanon,canon,0,0,0,0,0,0,0,0,2,2,10,5,3,3,1,5,1,6,2,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,3,1,3,2,4,3,1,1,1,3,6
knuppel,club,0,0,0,0,0,0,0,0,0,0,3,3,6,9,6,5,3,1,5,4
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,13,2,4,3,8,3,10,5,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,1,13,12,1
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,2,2,1
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,7,2
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,7,4
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
