,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,5,2,6,3,15,15,19,2,3,17,19,9,2,3,15,2,17,12,4
bijl,axe,0,0,15,15,15,6,10,10,9,18,10,9,17,15,14,5,8,6,19,15
boksbeugel,knuckle dusters,0,0,0,9,12,4,10,2,14,18,3,3,15,18,16,3,15,6,7,17
boog,bow,0,0,0,0,8,11,1,2,14,11,2,8,11,19,1,2,18,2,6,17
dolk,dagger,0,0,0,0,0,16,4,3,9,5,9,12,14,19,12,2,15,10,16,10
geweer,rifle,0,0,0,0,0,0,12,17,5,10,16,19,3,5,11,1,1,19,13,9
granaat,grenade,0,0,0,0,0,0,0,11,12,11,15,8,11,2,4,12,1,14,15,4
kanon,canon,0,0,0,0,0,0,0,0,6,10,17,10,2,3,1,19,1,16,5,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,18,4,10,15,17,8,2,18,13,6,11
knuppel,club,0,0,0,0,0,0,0,0,0,0,5,16,17,18,15,5,14,10,5,18
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,17,6,1,2,15,1,18,12,3
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,8,1,18,12,7
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,17,10,12,10
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,1,2,18,17
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,18,13
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,7
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
