,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,7,2,1,1,11,7,11,1,6,16,10,1,1,1,8,1,15,1,1
bijl,axe,0,0,1,3,9,3,1,1,5,8,1,1,2,9,10,1,1,2,9,4
boksbeugel,knuckle dusters,0,0,0,1,2,4,1,1,1,8,1,2,9,4,3,1,3,1,4,4
boog,bow,0,0,0,0,2,2,1,1,12,5,1,3,4,11,7,1,8,4,3,9
dolk,dagger,0,0,0,0,0,4,5,1,4,3,1,3,7,11,5,2,1,2,11,5
geweer,rifle,0,0,0,0,0,0,6,15,3,2,18,18,2,10,2,6,1,18,4,1
granaat,grenade,0,0,0,0,0,0,0,8,9,1,7,6,1,10,1,6,1,4,1,1
kanon,canon,0,0,0,0,0,0,0,0,2,1,8,7,1,1,3,17,1,10,1,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,8,4,9,1,5,7,1,8,7,6,4
knuppel,club,0,0,0,0,0,0,0,0,0,0,1,2,10,8,18,1,2,8,11,4
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,17,1,7,1,10,1,11,3,1
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,18,1,1
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,1,1,8,3
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,5,7,7
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,5,7
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
