,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,3,1,2,4,18,11,19,2,4,18,6,3,2,2,17,3,4,7,1
bijl,axe,0,0,6,14,17,4,2,4,12,3,5,4,17,18,17,1,6,4,18,15
boksbeugel,knuckle dusters,0,0,0,1,2,4,1,3,1,3,1,1,5,4,2,4,3,4,5,6
boog,bow,0,0,0,0,17,2,1,6,19,7,2,2,10,19,19,2,18,4,1,11
dolk,dagger,0,0,0,0,0,1,4,2,17,17,3,4,18,3,15,4,11,2,19,7
geweer,rifle,0,0,0,0,0,0,18,15,4,2,18,19,1,15,2,11,2,14,11,1
granaat,grenade,0,0,0,0,0,0,0,16,3,6,19,19,2,3,5,17,3,2,1,3
kanon,canon,0,0,0,0,0,0,0,0,6,2,18,17,11,1,3,18,4,16,1,1
katapult,slingshot,0,0,0,0,0,0,0,0,0,15,7,2,2,11,11,6,13,11,4,5
knuppel,club,0,0,0,0,0,0,0,0,0,0,1,1,11,16,18,1,3,2,11,11
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,18,4,1,1,2,2,15,7,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,17,3,5
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,4,8,1,5
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,9,5,2
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,19,16
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,3
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
