,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,12,11,15,12,15,11,17,16,12,1,15,4,15,4,11,2,15,15,5
bijl,axe,0,0,12,9,18,12,18,13,16,14,13,11,5,14,15,5,3,16,14,15
boksbeugel,knuckle dusters,0,0,0,13,12,15,13,16,14,10,11,13,5,13,12,12,7,12,14,10
boog,bow,0,0,0,0,11,16,11,12,18,11,12,15,5,11,13,5,11,15,16,12
dolk,dagger,0,0,0,0,0,12,15,8,12,11,10,16,8,16,12,10,10,13,18,10
geweer,rifle,0,0,0,0,0,0,13,12,15,15,16,19,5,14,16,10,5,15,17,7
granaat,grenade,0,0,0,0,0,0,0,7,12,11,13,10,12,13,8,12,1,3,15,6
kanon,canon,0,0,0,0,0,0,0,0,11,15,15,16,2,11,4,18,7,4,15,5
katapult,slingshot,0,0,0,0,0,0,0,0,0,6,17,15,8,3,11,12,5,15,15,12
knuppel,club,0,0,0,0,0,0,0,0,0,0,11,10,4,4,19,10,6,13,15,10
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,15,8,15,2,3,6,15,15,5
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,3,15,13,11,3,15,5,12
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,2,6,4,5
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,6,12,12,5
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,10,5,11
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,11,7
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
