,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,7,3,2,1,12,8,11,3,6,16,5,1,6,3,13,1,12,8,1
bijl,axe,0,0,5,3,11,4,3,2,2,11,8,8,2,9,12,8,4,2,7,5
boksbeugel,knuckle dusters,0,0,0,1,2,1,2,2,2,1,1,1,3,2,1,1,1,1,2,3
boog,bow,0,0,0,0,5,5,7,1,9,4,2,1,7,1,2,1,3,2,6,2
dolk,dagger,0,0,0,0,0,5,6,5,2,9,2,7,11,11,12,2,1,5,9,4
geweer,rifle,0,0,0,0,0,0,7,9,7,12,11,19,1,5,3,3,1,13,3,6
granaat,grenade,0,0,0,0,0,0,0,9,2,6,9,8,2,5,2,9,2,11,6,3
kanon,canon,0,0,0,0,0,0,0,0,2,2,12,4,6,3,1,15,1,12,5,2
katapult,slingshot,0,0,0,0,0,0,0,0,0,3,1,2,3,4,13,2,7,1,3,9
knuppel,club,0,0,0,0,0,0,0,0,0,0,3,8,3,9,16,2,4,2,6,12
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,11,5,5,1,13,1,11,7,3
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,2,1,19,6,4
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,2,1,5,2
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,2,6,7
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,11,11
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
