,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,1,2,16,1,17,4,2,1,2,3,10,3,4,4,2,1,5,4,2
bijl,axe,0,0,3,1,19,5,2,1,1,2,5,2,2,1,1,3,1,3,17,2
boksbeugel,knuckle dusters,0,0,0,2,4,2,3,2,1,1,2,3,2,1,1,1,3,1,2,1
boog,bow,0,0,0,0,1,1,3,3,12,2,4,12,4,10,8,1,10,1,3,2
dolk,dagger,0,0,0,0,0,5,3,4,1,2,3,8,3,10,12,2,2,2,18,1
geweer,rifle,0,0,0,0,0,0,15,18,7,8,13,20,3,12,1,5,1,20,11,8
granaat,grenade,0,0,0,0,0,0,0,4,3,2,2,16,2,2,2,19,1,3,3,2
kanon,canon,0,0,0,0,0,0,0,0,3,2,2,12,3,1,1,1,1,3,6,2
katapult,slingshot,0,0,0,0,0,0,0,0,0,2,2,4,1,8,10,1,10,2,2,2
knuppel,club,0,0,0,0,0,0,0,0,0,0,2,4,2,5,14,2,2,2,10,1
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,2,5,4,4,8,1,9,2,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,8,1,18,8,3
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,5,2
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,2,3,10,8
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,6,10
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
