,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,14,4,8,5,4,1,4,5,1,5,8,1,1,8,3,5,10,5,5,9,6,10,1,1,17,1,15,1
blouse,bloes,0,0,14,3,15,5,10,1,4,5,1,5,5,1,10,15,2,18,1,5,16,1,4,5,1,18,1,1,1
pants,broek,0,0,0,1,19,10,2,12,16,2,10,14,1,14,4,14,1,1,1,5,4,16,1,16,5,1,1,3,12
tie,das,0,0,0,0,12,14,1,2,1,5,4,14,1,1,10,18,1,6,5,11,13,4,10,1,1,1,5,8,11
shirt,hemd,0,0,0,0,0,14,1,13,5,1,1,10,6,1,11,14,12,1,15,12,1,1,1,5,14,1,12,5,16
hat,hoed,0,0,0,0,0,0,14,1,5,10,1,10,3,10,1,6,1,15,16,15,12,14,15,15,1,1,4,11,14
coat,jas,0,0,0,0,0,0,0,1,5,5,9,8,1,1,16,1,1,4,1,2,18,4,3,2,4,5,18,1,10
jeans,jeans,0,0,0,0,0,0,0,0,4,7,3,5,18,3,8,4,1,4,15,1,18,10,1,5,14,1,5,5,5
tracksuit,jogging,0,0,0,0,0,0,0,0,0,8,11,2,1,10,16,12,1,8,20,12,14,1,1,1,5,14,1,10,4
dress,kleed,0,0,0,0,0,0,0,0,0,0,2,14,1,1,14,1,7,5,1,4,15,11,11,10,12,16,1,1,12
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,15,1,14,15,1,8,3,18,5,12,1,10,1,1,8,6,2,18
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,1,1,4,1,11,1,8,1,5,5,8,15,14,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,7,12,16,8,10,6,10,8,10,14,1,15,5,12
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,2,7,5,5,5,1,8,1,1,5,1,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,18,1,5,4,1,4,1,1,5,14,11
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,2,15,8,15,6,1,4,10,12,1,15
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,12,6,12,18,12,5,15,14,12,5
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,11,1,5,1,12,1,2,5,12
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,10,1,10,6,5,1,12,16
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,17,10,16,2,8,12,1
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,15,1,8,16,18,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,5,1,5,8
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,16
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
