,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,9,1,2,1,2,1,1,2,7,3,1,1,1,1,1,1,2,1,2,1,1,1,1,10,1,7,1,15
blouse,bloes,0,0,1,1,20,1,5,1,1,14,6,1,3,1,10,2,2,1,1,1,1,1,1,11,15,15,12,1,8
pants,broek,0,0,0,2,2,1,2,19,16,12,6,1,2,1,8,4,7,10,1,13,1,12,2,1,1,1,1,1,10
tie,das,0,0,0,0,2,3,1,1,1,2,4,1,2,3,1,2,1,1,1,1,14,1,2,2,1,1,2,2,1
shirt,hemd,0,0,0,0,0,1,10,1,10,2,5,1,1,1,11,2,1,8,1,1,2,1,1,12,12,12,3,1,1
hat,hoed,0,0,0,0,0,0,2,1,1,1,4,1,15,15,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1
coat,jas,0,0,0,0,0,0,0,2,10,2,1,1,1,1,5,1,1,8,1,1,1,1,1,1,5,12,10,4,5
jeans,jeans,0,0,0,0,0,0,0,0,17,1,4,2,1,1,5,2,1,3,1,12,1,1,4,1,2,2,2,1,1
tracksuit,jogging,0,0,0,0,0,0,0,0,0,3,15,1,1,1,14,1,1,2,1,8,1,2,1,14,10,8,13,1,4
dress,kleed,0,0,0,0,0,0,0,0,0,0,16,2,1,1,5,1,15,3,2,1,1,3,1,9,7,4,7,1,15
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,1,1,1,15,2,1,2,2,2,1,1,1,4,11,3,3,1,2
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,1,16,1,1,2,1,1,1,2,1,1,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,2,1,1,3,10,1,2,1,1,1,1,2,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,1,3,1,1,1,1,1,1,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,1,1,1,1,3,10,1,5,14,1,2
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,1,2,1,1,1,1,1,2,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,4,1,5,12,1,1,1,1
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,2,4,9,10,1,10
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,2,1,1,1,2,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,3,1,1,2,2,1,3
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,2,1,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,8
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,12,1,4
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,4
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,16
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
