,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,7,2,1,4,2,4,2,3,4,1,1,2,2,8,1,2,1,1,2,2,2,1,4,11,5,3,1,11
blouse,bloes,0,0,2,6,15,2,9,1,2,4,1,2,2,2,6,2,2,3,1,2,2,2,1,9,8,10,9,2,2
pants,broek,0,0,0,2,2,4,1,12,9,2,4,1,1,2,9,2,9,2,2,8,4,6,2,1,3,2,1,2,3
tie,das,0,0,0,0,2,2,3,2,1,1,8,1,2,2,1,9,2,5,1,2,5,2,1,2,2,4,3,1,2
shirt,hemd,0,0,0,0,0,1,6,1,6,1,7,2,2,1,11,1,2,2,2,1,2,1,2,9,9,8,16,2,5
hat,hoed,0,0,0,0,0,0,1,2,1,2,1,1,14,13,2,3,4,9,1,2,2,1,3,2,1,2,1,1,1
coat,jas,0,0,0,0,0,0,0,2,9,6,3,2,3,2,4,1,2,2,1,2,3,2,2,11,8,8,8,2,2
jeans,jeans,0,0,0,0,0,0,0,0,6,6,4,1,2,3,9,4,3,3,2,6,1,3,2,4,2,5,5,2,6
tracksuit,jogging,0,0,0,0,0,0,0,0,0,6,1,2,2,3,9,1,3,1,1,4,3,3,4,12,1,5,6,1,12
dress,kleed,0,0,0,0,0,0,0,0,0,0,10,2,1,1,5,1,11,2,2,4,2,2,1,6,5,5,4,2,1
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,4,2,2,6,5,8,6,2,4,2,3,3,5,4,6,8,2,5
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,14,2,2,1,8,2,2,1,1,3,2
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,2,9,1,1,4,1,2,1,1,8,8,7,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,14,2,4,2,2,1,3,2,2,2,2,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,3,1,3,2,6,9,9,8,1,5
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,5,9,2,2,2,1,1,1,2,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,1,4,1,1,5,5,2,1,3
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,1,3,3,4,3,2,1
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,1,1,1,1,4,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,6,2,1,2,8
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,1,5,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2,1,7
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,9,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,10,2,6
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,5
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,14
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
