,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,8,1,1,1,1,1,1,9,16,1,1,1,1,3,3,8,1,1,1,1,18,2,1,11,1,5,1,2
blouse,bloes,0,0,9,6,17,9,3,2,2,4,15,1,2,9,1,5,6,3,2,2,1,1,2,1,4,4,5,1,1
pants,broek,0,0,0,9,15,1,4,18,16,2,18,5,9,6,18,18,15,18,12,5,2,1,8,2,2,3,6,1,1
tie,das,0,0,0,0,17,1,5,2,1,1,19,1,2,2,1,9,1,1,2,1,2,1,4,1,1,1,2,1,1
shirt,hemd,0,0,0,0,0,7,4,4,1,1,19,1,3,2,1,8,1,1,8,1,5,1,2,7,1,7,2,15,1
hat,hoed,0,0,0,0,0,0,11,4,1,4,4,5,8,8,11,1,8,2,2,1,9,1,1,1,1,1,2,4,1
coat,jas,0,0,0,0,0,0,0,3,2,8,3,1,8,2,1,1,3,8,8,2,14,1,2,2,1,11,4,4,1
jeans,jeans,0,0,0,0,0,0,0,0,1,1,1,6,2,9,1,1,4,16,2,6,2,1,11,9,9,6,5,2,9
tracksuit,jogging,0,0,0,0,0,0,0,0,0,1,1,1,5,8,2,1,1,4,8,10,5,1,5,8,5,8,8,3,4
dress,kleed,0,0,0,0,0,0,0,0,0,0,14,1,3,1,1,1,3,2,4,2,2,10,1,1,5,2,2,1,1
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,15,3,1,11,1,5,1,7,2,2,2,5,1,1
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1,1,1,1,8,4,5,1,8,8,2,9,1,1,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,5,2,4,1,2,8,1,2,5,1,8,2,19,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,2,14,5,2,8,5,2,8,10,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,2,6,7,8,15,2,11,1,1
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,2,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,3,6,4,11,1,1
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,1,1,5,5,8,2,8
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,18,2,1,4,1,4,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,12,5,8,1,1
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,8,1,17,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,12,1,1,5
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,6,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6,3,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,15
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
