,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,3,1,3,4,2,3,2,4,4,2,2,5,2,2,2,5,8,1,4,1,5,1,2,4,4,4,2,7
blouse,bloes,0,0,4,2,13,4,7,7,11,12,10,2,5,2,12,2,4,7,2,9,4,2,3,10,11,9,13,4,7
pants,broek,0,0,0,4,5,4,4,20,13,6,13,5,5,5,11,1,6,14,10,12,3,4,1,6,5,2,7,1,2
tie,das,0,0,0,0,4,3,4,4,4,3,7,2,4,1,2,10,2,3,2,5,11,2,2,2,3,5,5,2,7
shirt,hemd,0,0,0,0,0,4,15,6,9,13,13,2,4,5,13,5,2,9,2,5,2,6,3,12,11,12,14,4,4
hat,hoed,0,0,0,0,0,0,3,3,2,2,2,4,15,15,4,4,4,6,5,1,8,3,4,1,4,9,5,13,4
coat,jas,0,0,0,0,0,0,0,10,7,12,13,1,4,3,12,8,4,12,4,2,4,1,5,13,5,15,11,5,7
jeans,jeans,0,0,0,0,0,0,0,0,9,6,3,2,8,6,9,4,4,16,1,12,6,1,3,10,4,5,4,5,2
tracksuit,jogging,0,0,0,0,0,0,0,0,0,7,7,5,4,2,12,3,2,16,6,7,2,2,5,9,4,12,9,5,10
dress,kleed,0,0,0,0,0,0,0,0,0,0,7,2,4,3,10,4,12,11,3,8,9,5,2,7,4,9,5,4,12
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,2,4,4,12,4,4,12,5,12,4,1,1,7,9,9,8,4,11
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,4,3,16,4,7,1,6,7,5,6,2,2,3
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,5,4,1,2,4,7,4,2,5,2,7,4,8,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,2,4,4,6,4,4,2,2,6,5,3,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,1,17,4,8,3,8,2,4,7,4,13
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,1,2,2,3,2,2,4,1,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,11,2,7,4,4,8,5,2,5,7
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,4,1,2,5,4,11,11,3,12
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,9,1,2,2,1,10,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,7,5,2,10
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,1,4,4,6,4
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,1,4,2,4
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,9,4
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,13,6,6
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,8,12
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,15
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
