,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,-1,1,1,1,2,4,1,6,2,2,1,9
blouse,bloes,0,0,1,2,12,1,6,1,2,6,9,1,1,1,9,1,2,-1,1,1,1,1,1,9,4,9,14,1,1
pants,broek,0,0,0,1,1,1,1,19,9,2,2,1,1,1,6,1,5,-1,1,2,1,2,1,1,1,1,1,1,2
tie,das,0,0,0,0,2,2,1,1,1,2,2,1,1,1,1,1,1,-1,1,1,9,2,2,2,1,1,1,3,1
shirt,hemd,0,0,0,0,0,1,4,1,2,8,5,1,1,1,5,1,1,-1,1,1,2,3,1,9,5,4,5,1,1
hat,hoed,0,0,0,0,0,0,1,1,1,1,2,1,11,15,1,1,1,-1,2,1,1,1,2,1,1,1,1,2,1
coat,jas,0,0,0,0,0,0,0,1,1,6,5,1,5,1,6,1,6,-1,1,1,1,1,1,4,2,9,5,1,1
jeans,jeans,0,0,0,0,0,0,0,0,8,1,1,1,1,1,2,1,2,-1,1,2,1,2,1,1,1,2,1,1,1
tracksuit,jogging,0,0,0,0,0,0,0,0,0,5,1,1,2,1,5,1,1,-1,1,2,1,1,2,5,8,2,4,2,1
dress,kleed,0,0,0,0,0,0,0,0,0,0,2,1,1,1,12,1,9,-1,1,2,1,1,1,6,5,7,6,1,7
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,4,-1,1,1,1,1,1,2,1,2,8,1,2
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,16,1,1,1,6,1,1,1,1,1,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,-1,1,2,5,1,1,1,2,1,1,5,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,4,1,4,1,1,1,1,3,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,2,1,9,5,5,7,1,1
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,1,1,2,1,1,1,1,1,1,1,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,2,1,1,1,1,3,1,1,1,1
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1,1,1,1,2,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,2,6,1,5,2,2
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,2,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1,2
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,12,1,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,9,1
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
