,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,12,4,9,4,3,2,3,8,10,1,3,4,5,9,5,2,4,1,5,3,15,5,4,18,15,14,3,3
blouse,bloes,0,0,14,10,19,5,13,5,11,16,15,4,7,6,12,6,9,13,2,14,3,10,8,15,19,18,18,3,6
pants,broek,0,0,0,6,11,4,15,19,16,16,14,8,10,9,11,15,17,12,10,18,10,6,6,14,10,12,8,3,3
tie,das,0,0,0,0,15,8,6,10,2,3,19,5,10,8,2,10,15,6,11,4,19,3,6,6,6,14,4,10,1
shirt,hemd,0,0,0,0,0,12,16,10,10,12,18,9,8,10,6,12,4,14,5,9,9,9,5,18,16,18,18,13,2
hat,hoed,0,0,0,0,0,0,15,12,3,8,7,2,19,19,2,8,12,11,5,8,13,3,9,6,2,14,11,15,5
coat,jas,0,0,0,0,0,0,0,8,5,7,18,17,15,6,3,8,6,13,2,10,13,2,2,17,8,12,10,10,4
jeans,jeans,0,0,0,0,0,0,0,0,11,6,8,8,11,13,11,15,13,14,4,18,7,5,10,14,14,14,11,4,2
tracksuit,jogging,0,0,0,0,0,0,0,0,0,5,5,4,11,8,15,2,5,12,8,6,6,5,2,15,10,10,15,2,3
dress,kleed,0,0,0,0,0,0,0,0,0,0,11,8,3,8,9,9,18,16,5,11,5,2,2,16,9,4,15,3,2
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,19,3,4,2,19,15,12,3,9,11,2,3,14,7,14,15,6,2
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,3,10,9,18,9,16,6,5,6,5,11,3,6,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,5,5,11,7,4,19,5,4,6,4,14,6,19,3
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,7,4,8,2,16,2,6,8,2,8,3,7
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,2,3,2,5,14,6,8,13,7,3,2
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,8,10,9,3,10,6,8,15,5,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,6,5,8,16,14,7,14,2,5
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,6,5,5,16,14,12,18,5,2
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,17,12,8,13,3,5,2
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,16,12,14,12,3,4
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,12,6,18,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,3,3,6,3,3
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,12,18,3
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,18,10,3
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,7,6
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
