,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,10,7,4,12,2,3,10,12,12,15,6,3,7,16,2,16,4,2,15,4,17,14,6,15,10,11,2,17
blouse,bloes,0,0,9,4,15,9,11,5,11,15,12,2,12,12,15,9,8,8,4,9,10,5,9,15,15,8,9,5,7
pants,broek,0,0,0,7,15,5,14,18,14,15,12,10,4,4,17,10,14,18,8,18,5,14,9,4,7,10,5,3,3
tie,das,0,0,0,0,15,10,5,4,3,3,17,5,7,5,2,14,4,8,4,5,8,9,10,9,4,4,5,4,2
shirt,hemd,0,0,0,0,0,5,15,8,5,5,15,5,8,7,15,5,7,12,14,6,10,6,8,10,17,15,14,3,3
hat,hoed,0,0,0,0,0,0,10,4,2,3,5,2,15,18,2,5,10,6,12,5,12,2,5,5,4,6,5,14,2
coat,jas,0,0,0,0,0,0,0,14,7,13,10,12,17,10,2,5,9,12,12,4,14,4,10,10,14,14,11,14,4
jeans,jeans,0,0,0,0,0,0,0,0,15,14,9,7,4,12,2,14,15,17,8,12,8,9,14,5,8,16,12,8,5
tracksuit,jogging,0,0,0,0,0,0,0,0,0,5,13,2,4,5,14,5,5,10,10,14,8,9,12,16,14,13,10,5,8
dress,kleed,0,0,0,0,0,0,0,0,0,0,17,2,7,5,12,4,16,14,7,14,5,10,4,10,12,14,5,6,5
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,5,4,2,9,14,10,2,14,6,6,5,14,9,6,7,5,4,5
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,6,6,7,15,4,9,5,10,7,1,4,5,17,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,2,5,10,2,9,8,14,5,6,18,2,14,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,4,8,3,7,5,8,9,4,6,2,10,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,2,14,4,16,2,7,16,8,15,5,9
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7,10,5,5,5,8,5,8,8,6,5
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,15,7,14,5,10,15,9,14,5,12
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,6,7,13,10,14,4,14,8,3
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,16,10,5,15,6,2,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,7,7,10,5,8,8,13
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,6,14,5,15,4
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,12,4,9,4,16
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,5,8,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,12,8,3
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,14,15
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,15
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
