,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,14,5,10,2,1,2,16,4,13,1,1,1,1,4,15,16,7,2,2,2,2,18,13,18,1,13,1,2
blouse,bloes,0,0,18,2,15,3,16,17,16,12,16,12,15,20,12,13,15,16,3,16,2,4,16,8,19,16,18,2,1
pants,broek,0,0,0,12,19,2,15,16,19,11,16,15,13,1,13,17,15,12,15,9,15,15,18,19,20,17,20,7,2
tie,das,0,0,0,0,17,1,6,1,1,1,19,1,4,12,3,3,1,1,1,1,10,13,2,1,3,1,1,12,1
shirt,hemd,0,0,0,0,0,13,12,16,1,4,19,1,4,2,14,5,5,14,1,20,1,20,15,8,15,5,20,2,1
hat,hoed,0,0,0,0,0,0,19,2,2,4,1,2,16,20,1,1,2,1,10,2,4,1,2,14,1,5,4,20,2
coat,jas,0,0,0,0,0,0,0,15,14,2,17,14,20,16,1,12,2,15,20,2,18,1,1,18,10,18,4,16,1
jeans,jeans,0,0,0,0,0,0,0,0,14,17,1,2,15,1,1,19,10,10,17,16,3,15,15,20,18,18,20,14,2
tracksuit,jogging,0,0,0,0,0,0,0,0,0,1,1,1,1,1,13,1,1,1,14,3,1,1,14,5,9,3,18,2,1
dress,kleed,0,0,0,0,0,0,0,0,0,0,20,1,1,2,12,3,20,2,13,16,1,16,1,2,15,3,5,1,12
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,1,1,6,1,5,1,19,1,1,1,1,3,1
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,14,1,12,19,1,16,2,18,16,1,18,1,18,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,3,6,4,9,2,20,1,1,15,1,15,5,20,1
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,12,7,6,9,12,5,16,4,1,9,3
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,12,1,16,16,1,15,1,19,1,3
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,14,15,16,5,3,14,14,12,5,13,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,1,2,2,4,19,2,14,1,12
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,10,12,19,16,5,15,5,1
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,3,20,4,16,16,14,1,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,4,2,20,5,17,1,14
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,14,1,1,1,20,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,16,2,6,1,13
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,16,1,3,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,17,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,9,16
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,16
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
