,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,10,9,6,6,3,1,4,3,10,1,5,3,9,3,6,1,2,1,2,6,15,1,2,15,7,2,6,8
blouse,bloes,0,0,16,6,14,12,6,2,5,7,6,1,3,1,1,7,8,2,12,9,5,2,10,8,2,1,6,1,3
pants,broek,0,0,0,1,7,15,5,7,9,9,2,2,3,5,2,3,12,15,15,12,1,5,10,6,8,3,9,1,3
tie,das,0,0,0,0,5,6,20,10,3,3,1,3,2,10,4,2,1,1,3,3,9,1,3,3,1,2,2,6,4
shirt,hemd,0,0,0,0,0,11,6,6,3,5,8,1,7,9,5,3,9,3,6,15,1,5,5,9,4,1,9,9,11
hat,hoed,0,0,0,0,0,0,1,3,2,6,6,8,12,5,2,1,9,3,10,9,1,3,4,2,8,2,2,5,3
coat,jas,0,0,0,0,0,0,0,15,9,2,3,11,7,3,10,5,8,6,1,4,12,3,3,2,1,3,2,1,1
jeans,jeans,0,0,0,0,0,0,0,0,11,6,6,2,9,3,5,7,13,1,3,15,10,9,3,12,3,1,8,3,4
tracksuit,jogging,0,0,0,0,0,0,0,0,0,4,3,3,3,1,6,2,1,3,9,17,9,10,7,4,9,3,8,6,3
dress,kleed,0,0,0,0,0,0,0,0,0,0,9,3,1,10,9,4,3,1,1,10,3,3,3,5,8,2,9,3,2
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,1,15,2,2,3,7,2,6,8,3,3,8,2,2,5,1,3,3
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,4,1,10,2,1,2,10,5,3,1,2,2,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,2,1,4,2,15,6,7,2,2,9,7,2,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,10,20,5,10,3,1,2,3,5,6,2,1,5
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,3,4,5,2,2,5,1,2,3,6,3
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,3,6,2,4,1,11,5,4,7
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,4,4,11,7,9,7,1,1,3
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,8,8,9,3,3,4,2,6
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2,13,9,3,6,3,4,3
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,11,9,9,3,19,20,1
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,1,6,2,6,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,7,12,1,3
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,4,1,3
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,3,7
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,1
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
