,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,6,15,1,1,1,15,13,4,4,18,1,7,4,8,1,5,4,5,3,11,16,4,8,4,5,4,12,1
blouse,bloes,0,0,2,15,5,1,9,4,5,4,1,4,3,12,7,12,3,6,2,1,11,12,1,5,12,4,12,7,2
pants,broek,0,0,0,3,12,11,5,13,12,4,9,15,12,6,2,16,1,12,5,17,8,8,14,3,8,1,6,14,6
tie,das,0,0,0,0,5,8,4,14,5,3,4,14,9,3,12,2,6,3,9,1,9,1,6,4,6,8,1,5,1
shirt,hemd,0,0,0,0,0,4,5,12,1,5,9,8,8,13,16,12,5,3,2,2,2,5,4,2,1,12,8,3,6
hat,hoed,0,0,0,0,0,0,12,17,8,12,16,12,7,5,4,4,6,1,4,15,8,1,1,9,2,14,1,2,1
coat,jas,0,0,0,0,0,0,0,1,5,5,16,12,4,12,1,4,2,4,3,12,17,1,5,3,3,15,5,3,2
jeans,jeans,0,0,0,0,0,0,0,0,18,14,3,12,5,5,3,14,11,8,1,12,1,14,14,4,15,15,12,1,1
tracksuit,jogging,0,0,0,0,0,0,0,0,0,12,7,6,2,7,8,2,13,6,8,8,3,6,11,8,1,5,2,4,2
dress,kleed,0,0,0,0,0,0,0,0,0,0,15,4,3,3,7,1,5,1,16,5,12,3,9,8,4,5,1,12,1
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,7,3,1,8,1,4,5,12,1,8,14,2,14,8
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,15,8,7,5,8,18,12,2,2,4,12,2,11,4,1,2,14
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,8,2,4,6,5,5,1,2,1,16,6,6,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,11,3,1,5,1,2,4,1,4,8,11,5
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,15,3,6,2,12,1,2,8,5,5,1,1
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,5,2,5,1,5,2,1,12,15,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,9,12,4,1,7,12,6,14,13
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6,12,8,15,2,5,4,4,5
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,9,6,3,13,11,6,2
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,3,10,5,12,8,5
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,6,7,18,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,8,5,3,2
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,3,6,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,12,14
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,1,1
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
