,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,10,5,3,3,5,4,3,5,7,5,5,5,5,5,5,15,10,5,5,5,12,5,15,10,10,10,7,5
blouse,bloes,0,0,10,5,10,5,5,10,2,10,5,20,5,5,5,5,5,5,14,3,4,10,5,10,15,15,10,5,5
pants,broek,0,0,0,10,15,15,10,15,18,10,15,8,5,5,10,18,10,15,15,5,10,10,4,5,7,5,2,5,5
tie,das,0,0,0,0,15,15,10,10,5,1,18,5,4,4,5,12,4,5,4,5,7,5,10,10,5,5,5,4,2
shirt,hemd,0,0,0,0,0,15,10,5,5,5,10,10,10,5,5,2,5,5,5,5,5,15,14,5,5,15,5,5,3
hat,hoed,0,0,0,0,0,0,5,6,5,5,10,5,17,18,6,10,5,10,10,5,5,15,5,5,5,5,5,5,4
coat,jas,0,0,0,0,0,0,0,10,5,12,3,5,14,5,5,10,5,5,7,6,5,5,10,5,7,10,10,5,6
jeans,jeans,0,0,0,0,0,0,0,0,5,5,5,9,5,5,5,5,10,5,15,5,5,10,10,5,5,5,15,5,2
tracksuit,jogging,0,0,0,0,0,0,0,0,0,14,5,5,5,5,3,5,10,10,16,10,12,4,8,10,5,5,15,5,5
dress,kleed,0,0,0,0,0,0,0,0,0,0,15,10,3,5,5,5,10,5,5,10,5,14,5,5,15,5,5,12,5
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,5,10,3,15,5,3,5,5,2,6,10,15,5,2,5,3,5,5
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,5,5,5,18,3,3,5,10,5,5,5,10,15,5
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,10,5,3,5,5,15,5,9,10,5,14,15,5,5
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,1,10,5,5,5,5,5,4
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,16,5,5,5,5,5,1,5,5,5
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,15,5,5,5,5,5,5,15,5,5
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,5,15,5,10,10,10,2,5,5
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,5,10,5,5,5,5,5,4
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,15,10,5,5,10,5,5
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,10,10,5,5,5,5
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,15,5,5,5,5,5
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,5,5,5
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,10,5
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,5,10,5
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,5,5
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
