,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,3,3,5,2,2,3,3,3,5,2,3,2,5,3,5,3,2,4,3,2,3,5,10,2,12,4,10,3
blouse,bloes,0,0,14,4,18,4,6,2,4,3,9,4,3,2,2,7,2,3,5,2,3,3,3,5,2,4,4,2,7
pants,broek,0,0,0,3,5,7,2,7,11,3,11,5,2,6,2,9,3,3,5,5,3,2,2,4,4,2,3,3,10
tie,das,0,0,0,0,4,4,4,5,4,3,3,13,2,3,7,17,4,4,3,4,9,6,9,3,3,3,4,5,14
shirt,hemd,0,0,0,0,0,11,3,16,4,3,6,6,7,3,6,11,5,2,5,4,4,2,2,4,5,2,5,3,5
hat,hoed,0,0,0,0,0,0,7,3,13,5,4,6,2,7,3,10,3,9,7,10,3,6,7,4,3,2,5,5,7
coat,jas,0,0,0,0,0,0,0,3,6,4,9,12,4,3,6,3,2,3,5,3,18,7,9,3,2,7,18,3,4
jeans,jeans,0,0,0,0,0,0,0,0,3,7,2,3,3,3,3,4,4,4,3,2,3,4,3,2,4,4,3,2,4
tracksuit,jogging,0,0,0,0,0,0,0,0,0,3,3,4,4,3,5,5,2,1,8,6,2,2,4,4,6,6,5,5,3
dress,kleed,0,0,0,0,0,0,0,0,0,0,2,7,10,4,3,3,5,3,4,3,5,3,3,3,4,4,3,3,8
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,12,4,6,14,4,11,3,15,3,5,3,2,2,7,6,4,3,18
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,2,2,6,3,14,3,3,5,4,4,3,5,5,3
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,3,3,2,4,4,4,5,2,6,3,12
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,5,7,3,3,3,7,6,5,3,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,4,4,3,3,5,4,3,2,4,16,6
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,5,5,3,4,4,6,2,4
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7,4,2,14,17,4,7,16,4,3
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,4,10,6,3,2,2,5,5
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,2,4,3,3,7,10,18
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,10,4,4,5,8,7,3
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,3,6,3,19,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,7,8
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,2,3,8
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,4
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
