,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,4,4,4,3,2,4,5,3,1,5,4,2,4,10,2,3,15,3,5,10,12,3,4,4,5,3,2,3
blouse,bloes,0,0,4,3,4,3,3,3,20,2,5,2,3,3,3,4,3,2,4,2,4,4,2,5,3,2,5,2,3
pants,broek,0,0,0,3,4,2,4,18,5,4,12,1,4,3,2,5,5,4,1,12,3,4,3,3,2,3,2,1,4
tie,das,0,0,0,0,2,4,2,5,2,4,3,4,3,10,4,3,2,5,4,5,2,3,4,2,3,4,4,3,2
shirt,hemd,0,0,0,0,0,5,2,2,4,12,15,2,5,3,5,3,3,5,2,5,2,5,2,3,4,15,3,2,5
hat,hoed,0,0,0,0,0,0,4,3,1,2,5,5,16,1,4,3,1,4,5,2,1,4,4,2,3,3,5,4,5
coat,jas,0,0,0,0,0,0,0,4,10,5,2,3,2,2,3,4,5,2,3,3,4,5,3,4,4,2,5,5,5
jeans,jeans,0,0,0,0,0,0,0,0,5,4,4,2,3,5,3,4,2,4,3,13,4,3,2,4,15,2,3,1,3
tracksuit,jogging,0,0,0,0,0,0,0,0,0,5,12,3,2,2,2,4,3,4,4,3,10,5,4,2,4,15,4,3,4
dress,kleed,0,0,0,0,0,0,0,0,0,0,5,5,2,5,3,5,3,3,4,4,2,4,5,4,2,4,5,2,5
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,4,5,5,15,1,2,3,3,4,3,5,3,3,6,3,5,3,2
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,2,1,5,4,4,5,3,5,20,2,4,4
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,2,2,5,4,3,4,4,3,3,2,2,4,2,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,20,4,4,4,4,5,4,2,5,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,4,4,4,3,2,4,12,10,3,2
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,3,13,6,5,4,2,3,2,5,6
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,3,4,4,2,5,3,3
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,3,5,2,2,2,5,6,3
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,3,3,2,5,1,2
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,2,5,2,2,2,5,2
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,5,2,5,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,5,4,3
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,3,3
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,6,4
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,15
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
