,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,1,1,8,2,1,2,2,3,7,3,4,1,2,2,3,2,4,1,5,8,3,1,2,14,3,3,3,12
blouse,bloes,0,0,3,7,19,2,3,5,1,3,15,3,3,2,14,2,2,10,4,6,5,4,4,13,14,3,15,4,2
pants,broek,0,0,0,2,2,3,4,19,16,5,16,4,4,2,13,8,12,16,4,17,4,2,1,6,4,4,3,5,2
tie,das,0,0,0,0,7,4,5,4,5,6,5,1,4,1,2,13,2,5,1,2,17,5,3,3,1,3,3,2,2
shirt,hemd,0,0,0,0,0,1,14,3,3,4,2,2,8,4,12,3,3,2,3,4,3,3,4,15,10,12,5,4,3
hat,hoed,0,0,0,0,0,0,7,2,4,3,3,4,2,18,5,2,6,5,7,2,4,3,2,3,5,1,2,9,2
coat,jas,0,0,0,0,0,0,0,5,13,1,1,2,4,5,5,3,12,5,5,3,10,1,3,6,4,13,3,4,5
jeans,jeans,0,0,0,0,0,0,0,0,13,12,1,3,2,2,10,10,12,18,2,3,4,10,5,16,4,4,4,3,3
tracksuit,jogging,0,0,0,0,0,0,0,0,0,4,14,6,2,3,12,3,6,12,4,4,3,3,6,12,13,14,13,2,7
dress,kleed,0,0,0,0,0,0,0,0,0,0,16,2,4,2,2,3,17,4,4,4,5,6,2,3,18,2,3,4,5
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,4,4,6,12,6,4,15,5,2,7,3,4,12,2,12,6,3,2
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,2,2,18,3,1,3,5,6,4,1,2,2,5
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,5,2,1,1,3,5,3,2,3,3,1,2,1,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,3,3,4,3,1,2,3,5,3,3,4
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,1,15,2,2,4,13,13,13,5,4,3
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,13,1,5,1,1,1,3,2,6
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,3,4,1,3,8,7,2,4
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,9,8,2,2,10,5,1,1
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,4,3,4,4,5
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,4,2,5,5,3,2
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,2,8,2,5,1
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,8,2,5,4
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,1,2,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,12,3,4
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,3
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,13
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
