,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,16,1,7,10,2,5,3,6,12,3,3,3,4,9,5,4,6,4,4,2,19,14,7,18,3,4,2,13
blouse,bloes,0,0,15,10,18,3,6,15,15,15,3,4,2,5,18,5,3,6,4,12,6,4,4,19,11,18,18,5,3
pants,broek,0,0,0,18,14,6,7,20,16,10,17,5,8,3,3,16,14,17,19,19,3,7,5,11,15,10,15,6,5
tie,das,0,0,0,0,16,11,17,3,5,5,17,9,1,10,6,3,5,8,5,9,18,4,3,7,6,3,12,2,5
shirt,hemd,0,0,0,0,0,5,14,15,6,10,13,2,9,2,7,9,6,5,4,8,6,14,6,18,8,16,14,2,1
hat,hoed,0,0,0,0,0,0,14,5,1,4,16,2,3,17,6,6,2,8,5,4,16,3,3,9,2,5,6,8,4
coat,jas,0,0,0,0,0,0,0,4,9,1,4,6,6,8,2,5,5,8,16,4,17,5,6,2,4,13,8,15,8
jeans,jeans,0,0,0,0,0,0,0,0,6,4,7,2,4,5,3,13,5,8,6,7,5,6,13,5,14,13,9,4,1
tracksuit,jogging,0,0,0,0,0,0,0,0,0,6,6,8,12,14,16,6,7,8,16,15,14,2,8,17,9,13,15,5,6
dress,kleed,0,0,0,0,0,0,0,0,0,0,6,5,3,5,6,4,18,1,7,8,2,9,7,1,9,8,12,4,2
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,16,3,4,15,4,6,3,6,13,3,4,8,4,3
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,2,6,14,20,5,9,6,7,6,1,2,3,4,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,3,4,6,2,3,14,2,3,4,5,6,5,9,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,7,5,11,9,3,2,5,4,8,3,8,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,1,7,1,12,6,3,7,6,20,3,7
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3,12,4,5,1,4,3,9,4,4,1
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,19,4,14,5,2,15,11,6,6,7
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,7,8,1,2,5,2,9,2,2
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,17,6,2,8,2,1,4
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,2,3,15,5,14,3,18
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,7,11,16,4,5
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,6,4,2,1,13
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,6,7,2
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,16,7,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,14,14
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
