,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,14,9,10,12,10,4,10,8,13,6,2,12,7,16,10,11,8,6,9,12,16,12,7,16,12,15,5,14
blouse,bloes,0,0,12,6,14,7,16,7,12,16,15,4,10,8,15,11,13,7,9,6,8,12,6,17,18,15,18,6,12
pants,broek,0,0,0,9,12,8,10,19,18,15,12,6,9,4,17,12,13,17,8,18,8,12,9,13,11,14,13,6,10
tie,das,0,0,0,0,12,9,9,10,7,8,11,9,13,5,8,10,4,4,6,7,15,12,11,8,6,10,8,9,3
shirt,hemd,0,0,0,0,0,9,16,11,11,14,18,2,9,5,14,7,13,13,7,8,8,8,4,16,14,16,17,8,12
hat,hoed,0,0,0,0,0,0,11,7,6,6,7,11,18,13,5,12,11,5,12,5,9,4,4,8,9,6,9,11,4
coat,jas,0,0,0,0,0,0,0,10,12,8,14,7,13,5,15,9,7,12,12,8,14,7,7,16,14,15,15,17,6
jeans,jeans,0,0,0,0,0,0,0,0,14,13,11,4,9,4,12,14,14,16,6,17,8,7,7,9,5,9,10,4,8
tracksuit,jogging,0,0,0,0,0,0,0,0,0,11,14,4,4,4,16,4,8,17,7,15,6,6,9,15,8,13,8,11,11
dress,kleed,0,0,0,0,0,0,0,0,0,0,16,9,3,2,14,11,17,15,9,14,14,13,6,13,15,15,11,4,12
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,4,4,3,8,11,8,16,13,9,6,11,6,11,13,10,12,6,14
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,8,3,4,19,3,5,2,18,3,4,4,8,14,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,8,4,5,10,6,15,7,12,11,6,9,4,17,5
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,2,10,7,11,11,9,4,7,4,3,7,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,17,4,16,10,15,13,17,16,15,15,4,11
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,11,6,7,14,8,4,8,7,6,12,5
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,16,11,12,2,8,11,11,8,5,6
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,6,2,6,9,8,14,14,7,13
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,16,7,11,6,6,11,2
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,8,11,12,12,13,6,10
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,7,12,11,12,16,8
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,6,6,12,12,16
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,6,11,4
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,16,8,13
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,16,7
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,18
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
