,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,1,2,4,3,2,1,2,1,2,3,2,1,2,2,2,1,2,4,3,2,4,1,3,3,1,5,2,2
blouse,bloes,0,0,10,1,18,3,2,3,2,6,15,2,2,2,15,3,2,4,2,2,2,3,2,6,5,4,10,2,3
pants,broek,0,0,0,6,2,3,1,15,15,5,14,1,1,2,18,1,2,10,1,10,2,7,3,2,2,3,2,2,9
tie,das,0,0,0,0,4,2,2,3,4,4,15,2,4,2,3,4,2,2,4,2,2,2,2,2,2,3,2,2,1
shirt,hemd,0,0,0,0,0,2,3,1,2,2,10,2,2,2,12,2,5,3,2,2,2,2,2,7,2,3,15,2,2
hat,hoed,0,0,0,0,0,0,1,1,1,5,3,4,15,15,1,2,2,4,3,2,2,2,2,2,5,4,2,1,2
coat,jas,0,0,0,0,0,0,0,1,2,2,10,2,3,10,5,5,5,4,1,2,4,3,2,4,3,2,3,4,3
jeans,jeans,0,0,0,0,0,0,0,0,12,5,5,2,2,2,5,2,4,10,1,14,2,5,1,10,2,2,1,2,2
tracksuit,jogging,0,0,0,0,0,0,0,0,0,5,5,2,2,2,5,1,1,5,2,10,2,5,3,3,7,6,5,2,2
dress,kleed,0,0,0,0,0,0,0,0,0,0,2,2,2,2,15,3,10,8,2,9,4,4,3,1,6,3,5,4,2
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,5,2,5,15,2,6,9,2,3,6,3,1,4,4,5,10,2,5
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,1,2,12,1,2,2,2,2,2,2,1,2,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,2,3,3,3,2,3,2,2,1,3,2,5,2
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,2,5,1,3,3,2,2,2,2,3,3,2
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,5,3,2,4,9,5,9,8,3,2
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,2,1,3,2,2,2,3,2,4,2
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,3,2,2,2,1,2,2,8
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,6,2,2,3,2,2
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,5,2,2,2,2
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,2,2,4,2,4,3,5
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,2,2,3
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,2,9
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,4,2,2
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,9,2,2
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,15
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,19
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
