,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,4,6,5,6,7,13,4,6,-1,4,5,7,4,7,8,6,4,11,5,8,5,9,4,4,5,6
banjo,banjo,0,0,16,5,7,7,5,5,4,-1,4,18,9,4,5,11,5,5,4,6,7,6,5,4,6,4,13
bass guitar,basgitaar,0,0,0,5,5,7,4,8,4,-1,4,19,8,5,7,4,4,4,6,4,9,6,5,4,5,4,11
cello,cello,0,0,0,0,6,5,5,5,8,-1,10,6,5,4,7,6,5,7,5,8,5,6,7,6,5,9,7
cymbals,cimbalen,0,0,0,0,0,5,6,6,4,-1,7,5,3,3,5,4,6,4,4,4,5,7,8,6,7,4,6
double bass,contrabas,0,0,0,0,0,0,4,5,4,-1,4,12,8,4,6,4,9,4,4,5,6,7,4,4,5,4,15
bagpipe,doedelzak,0,0,0,0,0,0,0,5,5,-1,4,4,4,4,6,7,2,4,4,6,6,5,4,4,7,4,10
drum set,drumstel,0,0,0,0,0,0,0,0,3,-1,3,11,5,4,8,4,7,4,6,2,6,8,8,4,17,6,4
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,-1,18,4,4,11,5,8,4,12,4,9,4,3,7,6,4,6,6
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,4,4,13,5,11,3,8,5,9,5,4,5,6,4,5,5
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,7,4,5,6,4,5,6,4,3,8,5,17
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,5,5,7,5,11,7,4,7,5,4,11
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,4,11,5,5,4,13,4,11,5
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,5,16,7,12,6,9,5,5,5,6
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,6,4,7,7,4,6,5,6
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,4,16,6,5,5,7,4,6
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,8,6,5,8,4
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,7,6,4,5,4,4
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,13,4,13,4
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,6,4,4
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,7,6,4
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,5
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,5
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
