,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,3,1,1
banjo,banjo,0,0,-1,4,1,1,1,1,1,1,1,20,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
bass guitar,basgitaar,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cello,cello,0,0,0,0,1,5,1,1,1,1,1,1,1,1,-1,1,1,1,1,18,1,1,1,1,1,1,1
cymbals,cimbalen,0,0,0,0,0,1,1,10,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
double bass,contrabas,0,0,0,0,0,0,1,4,1,1,17,2,1,10,-1,1,1,1,1,8,1,1,1,3,1,5,1
bagpipe,doedelzak,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
drum set,drumstel,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,6,1,1,1,18,1,1
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,10,17,1,1,10,-1,2,1,18,1,10,1,1,1,4,1,4,15
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,18,1,1,16,-1,1,1,1,1,1,1,2,1,18,1,15,1
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,1,1,15,-1,1,1,19,1,1,1,1,1,15,1,1,1
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,1,3,1,1,1,1,1,1,5
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,20,1,1,1,1,1,1,1,1,1,1
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,11,1,4,1,1,1,1,1,15,1
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,1,1,1,1,1
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,1,1,1
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,17,1,16,1
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,1,1
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
