,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,11,7,10,8,8,8,9,8,6,7,7,5,7,11,8,11,8,10,7,11,9,7,9,8,9,9
banjo,banjo,0,0,12,11,7,11,7,8,7,7,7,14,8,8,6,11,7,9,7,9,6,13,7,2,7,6,11
bass guitar,basgitaar,0,0,0,7,5,12,8,7,8,5,7,18,11,7,8,5,6,4,8,9,10,13,4,7,6,8,13
cello,cello,0,0,0,0,7,16,7,9,11,8,9,12,11,8,8,7,8,9,9,7,7,6,8,6,7,7,15
cymbals,cimbalen,0,0,0,0,0,3,6,14,10,10,6,9,7,8,5,7,6,8,6,9,9,11,11,8,12,9,5
double bass,contrabas,0,0,0,0,0,0,5,9,9,9,7,10,12,7,10,5,9,7,7,8,8,9,7,9,7,7,12
bagpipe,doedelzak,0,0,0,0,0,0,0,6,10,12,12,9,4,7,7,10,8,7,6,14,4,8,2,8,7,9,11
drum set,drumstel,0,0,0,0,0,0,0,0,8,11,9,8,9,7,7,9,5,5,7,7,8,15,13,13,15,8,6
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,12,13,8,11,12,7,11,9,13,10,11,8,5,8,11,5,11,10
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,11,5,8,16,7,10,5,12,10,12,8,7,6,10,4,13,10
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,8,7,13,9,10,8,13,8,11,7,8,8,11,7,11,7
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,7,7,8,6,7,6,8,8,9,5,8,10
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,9,7,6,8,7,4,5,11,9,8,8,9
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,9,8,13,7,8,7,13,9,11,8
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,8,13,8,16,7,5,11,7,7,9
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,6,13,9,8,9,9,5,11,7
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,8,13,9,9,8,7,7,7
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,7,8,11,9,7,7
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,5,8,6,8,5,8
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,12,5,13,8
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,4,8,7
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,8,2
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,10,6
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,8
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
