,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,2,5,14,1,4,16,2,4,3,6,4,5,5,11,18,17,4,13,11,5,1,3,10,3,5,4
banjo,banjo,0,0,18,14,3,13,3,4,3,4,2,18,9,4,6,2,3,11,4,2,2,3,2,3,4,4,14
bass guitar,basgitaar,0,0,0,12,1,16,2,3,2,5,5,19,7,2,6,5,4,2,3,4,2,2,2,4,3,4,15
cello,cello,0,0,0,0,3,19,5,2,2,3,4,6,5,2,5,2,4,3,4,2,2,2,2,1,1,2,19
cymbals,cimbalen,0,0,0,0,0,1,3,7,2,3,2,1,2,2,2,2,1,1,1,2,2,15,15,3,9,1,1
double bass,contrabas,0,0,0,0,0,0,4,2,2,3,2,16,4,4,6,1,4,2,3,5,6,2,2,3,2,2,18
bagpipe,doedelzak,0,0,0,0,0,0,0,2,5,6,10,2,4,6,2,16,13,5,4,8,3,2,1,15,4,6,3
drum set,drumstel,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,2,4,1,4,2,2,16,15,3,18,3,2
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,12,12,2,2,13,2,6,8,6,2,6,5,2,1,13,5,7,2
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,16,3,1,17,3,4,7,6,3,14,5,3,2,14,5,10,4
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,2,3,15,2,5,6,14,4,12,5,2,4,14,3,12,2
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,16,2,5,4,2,2,9,4,2,1,5,3,1,4,16
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,4,4,5,3,16,3,4,3,3,2,6
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,7,4,16,4,2,3,11,5,14,3
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2,19,3,18,2,4,2,4,2,6
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,4,8,11,3,1,6,3,4,4
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,2,18,2,3,12,2,11,2
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,5,2,6,1
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,3,1,2,1,1,3
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,14,2,16,2
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,4,2,3
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,18,3,1
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,1,1
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,3
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
