,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,7,3,4,6,3,9,3,3,-1,2,7,3,6,3,9,3,3,9,3,9,4,2,3,3,6,6
banjo,banjo,0,0,11,5,4,7,6,6,6,-1,4,17,9,7,2,5,6,3,3,9,3,4,5,3,3,3,3
bass guitar,basgitaar,0,0,0,5,3,18,3,12,4,-1,2,19,2,3,3,3,3,2,2,6,8,3,1,3,6,6,2
cello,cello,0,0,0,0,7,6,7,5,7,-1,6,10,5,5,6,7,8,7,8,5,6,6,6,13,10,6,6
cymbals,cimbalen,0,0,0,0,0,3,3,10,4,-1,3,3,7,7,11,4,2,3,2,3,3,10,8,3,6,6,7
double bass,contrabas,0,0,0,0,0,0,3,5,3,-1,6,8,6,7,6,3,3,2,3,13,8,2,5,6,5,6,2
bagpipe,doedelzak,0,0,0,0,0,0,0,4,6,-1,7,3,9,3,2,4,3,7,3,3,3,7,3,9,7,3,2
drum set,drumstel,0,0,0,0,0,0,0,0,3,-1,3,3,1,3,5,3,6,3,5,6,9,6,2,3,16,5,1
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,-1,10,3,7,12,2,13,3,18,3,9,4,3,6,7,6,10,5
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,5,10,15,6,9,5,18,3,6,7,3,12,7,3,3,5
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,2,3,2,6,3,8,3,3,6,6,7,6
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,11,15,2,5,2,6,11,7,3,4,7
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,10,6,7,4,8,6,7,3,12,3
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,3,3,6,6,3,3,10,14
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,3,3,10,8,7,2,3,3
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,3,2,7,2,3,3,2,10
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,9,9,4,6,6,3
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2,3,5,3,3,5
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,10,6,16,6
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,5,2
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,7,3,7
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,7
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
