,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,11,3,5,4,8,3,5,5,9,7,7,8,5,6,6,15,9,10,5,4,9,12,5,4,3,6,6,6,6
advocaat,lawyer,0,0,6,8,9,7,8,4,5,12,11,8,6,8,4,6,4,12,7,9,11,6,11,16,7,4,9,4,7,6
apotheker,pharmacist,0,0,0,6,8,6,8,3,5,6,14,4,14,6,5,5,8,7,2,8,5,6,13,7,7,9,9,11,3,12
archeoloog,archaeologist,0,0,0,0,7,5,8,6,7,5,2,8,6,3,6,6,3,6,6,6,3,9,8,4,8,9,9,2,4,2
architect,architect,0,0,0,0,0,5,9,9,8,12,6,11,9,3,4,5,5,9,6,4,3,4,7,8,4,5,5,5,5,7
bakker,baker,0,0,0,0,0,0,6,3,9,9,3,3,10,16,7,9,8,5,8,5,3,6,8,5,4,11,6,9,2,10
boekhouder,accountant,0,0,0,0,0,0,0,5,7,11,6,13,6,4,5,5,6,8,5,8,5,8,4,11,8,3,5,7,6,8
brandweerman,fireman,0,0,0,0,0,0,0,0,1,5,6,7,7,4,8,8,5,8,8,5,8,7,9,6,9,6,3,5,8,6
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,6,17,6,9,5,6,5,6,6,4,5,6,9,8,8,6,12,4,12,7,5
directeur,manager,0,0,0,0,0,0,0,0,0,0,8,12,8,6,12,6,6,9,8,10,6,6,10,11,10,6,6,5,5,6
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,3,8,4,8,3,9,3,11,6,5,6,13,9,6,8,8,14,9,6
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,8,4,6,6,17,8,6,7,7,10,3,6,7,3,6
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,7,4,7,4,6,6,9,10,6,9,5,11,5,2
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,6,9,4,5,6,4,8,8,11,7,5,5,8
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,17,6,4,8,11,3,7,6,7,4,5,5
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,6,5,6,5,2,8,8,7,2,9,6
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,4,7,13,4,9,5,8,4,6,12
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,5,7,11,7,8,6,5,3,3
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,15,8,6,6,8,8,8,10
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,9,6,6,6,7,3,7
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,5,6,9,7,7,3
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,8,9,6,8,6
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,4,5,4,6
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,3,3,6
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,3,12
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,11
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
