,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,4,6,4,7,8,5,4,2,2,4,5,2,5,8,5,4,2,5,3,4,5,4,5,7,4,7,4,3,5
advocaat,lawyer,0,0,5,3,3,4,10,9,4,9,9,4,3,4,3,2,4,11,6,5,9,4,5,10,9,4,6,7,3,4
apotheker,pharmacist,0,0,0,6,5,5,5,9,10,2,12,4,10,10,9,3,9,4,5,2,3,3,5,4,6,4,7,7,2,8
archeoloog,archaeologist,0,0,0,0,9,4,4,5,7,6,4,5,3,3,7,4,3,3,3,5,4,4,9,9,3,2,4,6,8,3
architect,architect,0,0,0,0,0,2,5,4,4,9,9,7,3,6,4,5,5,9,2,5,3,5,7,8,2,2,5,2,3,4
bakker,baker,0,0,0,0,0,0,5,3,4,4,2,7,4,14,5,8,10,5,8,5,3,5,2,5,5,3,4,4,6,9
boekhouder,accountant,0,0,0,0,0,0,0,5,2,8,9,10,2,3,5,3,3,9,4,4,4,2,7,4,11,4,5,5,3,3
brandweerman,fireman,0,0,0,0,0,0,0,0,8,4,10,8,4,5,4,5,4,4,2,2,12,3,10,5,4,5,2,4,3,3
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,9,10,4,5,6,5,4,2,4,3,4,5,2,8,5,2,4,6,10,4,5
directeur,manager,0,0,0,0,0,0,0,0,0,0,9,8,4,5,5,2,3,8,4,4,6,4,8,8,4,2,5,7,4,3
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,5,10,4,6,5,5,5,4,4,5,4,10,9,3,2,6,11,2,2
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,5,5,4,4,4,4,5,9,5,4,2,8,4,2,9
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,5,3,5,4,5,7,4,4,3,6,4,9,3,2
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,5,4,4,4,6,3,5,9,4,3,4,6
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,18,4,10,5,8,4,6,2,3,3,4,5
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,2,7,5,2,4,2,5,3,5,5,6
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,4,10,2,3,4,6,8,3,6,15
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,2,5,9,2,3,3,4,2,4
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,7,5,5,4,3,5,4,3
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,2,3,10,3,3,3
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,3,4,3,4,3,6,4
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,7,4,4,9,5
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,6,9,2,2
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,3,4
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,9
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
