,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,5,3,14,12,4,2,5,2,2,2,3,11,3,9,7,15,15,8,3,3,4,12,3,6,7,12,3,5,6
advocaat,lawyer,0,0,11,4,12,4,13,4,8,16,13,6,11,6,11,4,10,18,3,2,13,2,13,19,11,5,8,8,2,4
apotheker,pharmacist,0,0,0,4,8,8,4,2,16,6,18,4,15,14,4,14,5,8,5,4,4,3,12,14,6,3,11,16,4,13
archeoloog,archaeologist,0,0,0,0,6,2,6,12,3,3,4,4,6,1,3,5,3,5,15,11,4,4,4,5,2,10,4,8,12,4
architect,architect,0,0,0,0,0,3,12,9,5,12,6,3,5,8,3,11,4,6,9,12,12,12,3,12,15,7,3,7,1,5
bakker,baker,0,0,0,0,0,0,5,5,3,6,6,15,4,17,12,5,14,3,4,3,5,4,6,3,2,19,4,4,1,16
boekhouder,accountant,0,0,0,0,0,0,0,7,5,14,11,18,5,4,13,10,6,17,3,10,4,3,10,16,18,4,8,4,1,6
brandweerman,fireman,0,0,0,0,0,0,0,0,4,3,3,5,4,3,12,5,3,4,5,2,14,8,4,2,7,10,3,3,5,12
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,12,19,5,18,4,1,6,9,10,3,4,3,2,14,3,2,16,4,18,2,6
directeur,manager,0,0,0,0,0,0,0,0,0,0,14,4,4,5,14,5,12,17,3,14,6,4,10,18,14,3,6,10,1,3
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,14,18,3,12,1,6,11,10,7,5,14,19,15,5,6,8,19,4,2
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,2,11,10,3,7,2,4,9,12,16,3,5,2,2,7
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,5,7,14,7,4,2,16,4,11,10,8,17,3,3
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,7,8,6,3,1,14,2,3,2,18,6,6,1,11
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,18,5,10,7,15,13,11,3,9,12,2,9
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,5,4,5,2,3,2,5,5,10,13,5
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,8,10,5,4,16,5,6,5,18
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,4,9,17,14,4,7,12,1,6
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,16,11,9,1,12,13,5,3
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,10,4,6,17,3,3,3
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,6,4,6,4,3,4
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,2,6,6,16,3
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,5,18,2,10
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,6,4,2,2
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,6,4,15
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,15
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
