,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,7,9,8,10,9,10,7,11,11,10,10,7,9,12,5,12,11,11,12,1,8,12,11,5,6,8,9,7,11
advocaat,lawyer,0,0,12,12,14,10,14,9,13,12,14,12,11,6,11,8,7,13,11,11,8,10,14,15,8,6,7,11,6,8
apotheker,pharmacist,0,0,0,13,12,12,6,9,12,14,13,9,12,11,11,6,5,11,11,12,8,7,12,12,5,6,7,14,6,12
archeoloog,archaeologist,0,0,0,0,13,7,11,7,12,8,11,7,12,6,9,6,7,8,11,5,10,9,13,12,7,7,7,12,10,7
architect,architect,0,0,0,0,0,9,11,9,12,12,11,13,12,7,11,12,11,13,11,11,7,8,14,13,9,8,7,13,5,7
bakker,baker,0,0,0,0,0,0,7,11,10,7,7,7,9,14,12,11,11,7,10,11,8,11,10,7,8,12,7,8,8,14
boekhouder,accountant,0,0,0,0,0,0,0,8,7,11,11,13,10,7,13,9,8,7,11,10,11,8,11,12,12,9,8,11,8,11
brandweerman,fireman,0,0,0,0,0,0,0,0,10,11,11,6,8,8,11,13,8,10,6,12,14,12,6,8,4,8,7,8,14,10
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,13,15,8,13,7,8,9,7,13,11,7,8,8,14,14,8,9,9,13,8,7
directeur,manager,0,0,0,0,0,0,0,0,0,0,13,8,11,9,9,8,9,13,10,11,8,8,12,14,14,5,8,11,5,7
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,11,12,6,12,7,6,12,11,12,10,6,15,11,11,7,7,14,7,7
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,11,8,6,10,10,9,8,8,7,11,8,9,10,8,7
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,6,11,14,6,9,9,12,11,10,6,9,13,7,8
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,7,7,7,7,11,8,7,9,12,10,11,10,10
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,14,9,10,10,12,13,15,11,11,11,9,8
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,8,8,10,7,9,10,8,7,8,12,7
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,7,6,6,5,8,6,10,9,8,9,13
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,9,9,14,14,11,7,8,11,4,9
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,13,12,11,5,11,10,8,9
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,6,11,9,8,14,8,9,8
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,7,8,8,8,8,9,10
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,12,7,10,11,11
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,8,11,12,7,7
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,11,8,6
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,7,11
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,14
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
