,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,5,3,5,4,3,2,3,3,3,4,3,5,3,9,3,3,2,4,1,3,3,5,4,2,3,8,2,4,7
advocaat,lawyer,0,0,3,5,3,3,10,2,4,13,10,5,3,3,8,3,2,13,3,5,16,5,11,17,8,6,3,5,3,2
apotheker,pharmacist,0,0,0,3,3,3,8,1,3,6,11,6,5,8,2,5,3,2,3,6,2,3,3,9,9,8,3,11,3,11
archeoloog,archaeologist,0,0,0,0,3,5,2,5,3,5,3,8,2,3,6,3,3,3,5,3,7,3,5,5,3,2,2,3,5,5
architect,architect,0,0,0,0,0,3,9,2,2,8,3,15,5,3,4,9,2,5,2,11,6,5,3,5,2,4,4,11,3,3
bakker,baker,0,0,0,0,0,0,6,6,3,4,3,3,5,11,2,2,11,2,2,3,2,5,3,3,5,11,2,3,2,12
boekhouder,accountant,0,0,0,0,0,0,0,3,3,7,5,15,5,6,5,3,8,6,2,1,9,11,4,9,13,2,4,2,3,8
brandweerman,fireman,0,0,0,0,0,0,0,0,10,9,7,3,3,2,5,15,6,3,3,3,9,3,8,3,3,2,3,2,2,3
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,4,15,2,3,3,4,3,3,3,3,4,3,2,6,4,2,5,2,3,3,3
directeur,manager,0,0,0,0,0,0,0,0,0,0,10,5,2,5,5,3,2,6,7,3,12,3,7,12,14,3,3,3,3,8
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,5,12,3,14,3,3,5,3,9,8,2,13,9,4,3,5,17,3,3
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,3,6,9,15,3,8,3,6,6,3,4,3,3,5
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,3,3,2,4,3,8,2,3,2,2,14,3,5
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,3,2,3,3,14,3,3,3,4
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,11,3,8,3,13,5,3,4,2,5,2,4
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,3,2,3,2,3,2,2,3,9,6
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,2,3,2,5,10,3,3,2,4
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,5,16,8,3,4,5,3,3
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,15,13,3,2,2,3,3,2
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,6,2,2,17,3,3,3
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,3,4,5,2,3,5
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,13,2,3,3,2,3
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,2,4,9,2
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,3
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,7
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,11
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
