,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,10,10,11,11,10,9,12,12,12,12,11,11,10,11,10,13,11,11,10,9,9,12,9,10,11,11,10,10,10
advocaat,lawyer,0,0,11,10,12,10,16,13,12,14,14,11,10,11,11,10,10,14,10,12,14,11,12,15,12,9,10,10,10,10
apotheker,pharmacist,0,0,0,12,11,16,11,11,12,9,13,10,12,10,9,10,12,11,12,10,10,11,13,11,13,9,10,13,10,13
archeoloog,archaeologist,0,0,0,0,12,10,12,13,11,11,10,10,10,10,12,11,10,10,10,11,10,10,10,11,9,10,11,11,9,9
architect,architect,0,0,0,0,0,9,11,10,10,12,10,14,11,10,11,10,10,14,9,11,12,11,11,11,10,11,12,12,10,10
bakker,baker,0,0,0,0,0,0,15,12,11,10,12,9,10,14,11,10,13,11,11,10,14,9,9,10,12,15,9,9,9,18
boekhouder,accountant,0,0,0,0,0,0,0,10,9,13,11,13,10,11,13,9,10,15,10,13,11,12,10,13,14,11,14,11,10,12
brandweerman,fireman,0,0,0,0,0,0,0,0,10,10,15,11,9,11,10,13,9,11,9,13,14,12,11,11,10,10,10,10,12,10
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,11,16,10,15,11,11,10,10,10,11,10,11,11,12,11,10,15,8,15,10,11
directeur,manager,0,0,0,0,0,0,0,0,0,0,13,13,9,9,15,10,10,11,12,12,12,10,10,12,12,9,13,11,8,12
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,13,13,9,11,11,10,13,13,15,9,10,14,14,12,11,10,15,9,10
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,9,10,13,9,12,12,11,13,12,12,11,10,11,9,11
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,10,8,11,11,9,10,10,15,10,12,9,11,15,9,13
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,11,11,11,11,10,9,10,10,11,16,11,10,9,13
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,13,10,14,14,12,11,12,9,12,12,10,10
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,10,9,10,10,10,9,10,9,12,10,11
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,10,11,11,9,10,11,12,10,9,9,15
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,13,10,11,13,12,8,10,11,10,11
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,16,12,15,9,10,14,9,10
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,11,10,10,10,15,10,10,10
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,12,11,11,10,15,9,12
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,10,11,11,10,11
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,9,10,13,14,9
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,11,9,9
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,12,10,14
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,17
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
