,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,15,9,4,8,4,7,5,8,8,8,6,5,16,12,4,14,17,10,8,8,5,11,9,13,5,11,5,5,11
advocaat,lawyer,0,0,7,4,6,5,8,8,4,16,7,11,14,8,13,7,14,14,9,5,15,13,15,16,12,8,6,6,5,7
apotheker,pharmacist,0,0,0,10,5,16,7,12,14,6,12,13,14,12,8,7,4,10,6,10,4,4,4,4,14,14,6,13,5,18
archeoloog,archaeologist,0,0,0,0,7,8,11,5,7,5,15,8,5,8,4,4,6,6,11,5,14,5,4,8,5,5,13,17,15,14
architect,architect,0,0,0,0,0,4,4,8,3,8,4,12,5,5,8,14,15,6,4,9,8,14,14,14,5,6,8,5,5,8
bakker,baker,0,0,0,0,0,0,3,8,4,8,8,5,8,18,5,4,15,5,9,15,4,8,4,4,13,16,4,4,5,14
boekhouder,accountant,0,0,0,0,0,0,0,8,9,14,10,11,8,4,11,10,5,9,11,8,5,6,4,5,15,9,5,7,5,10
brandweerman,fireman,0,0,0,0,0,0,0,0,7,5,5,5,5,4,7,8,4,4,8,7,17,12,5,8,10,7,9,5,12,5
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,8,15,10,14,5,8,6,5,5,8,9,7,16,8,10,8,15,5,11,8,5
directeur,manager,0,0,0,0,0,0,0,0,0,0,10,12,16,6,16,12,5,17,14,16,14,5,12,17,15,8,11,7,4,9
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,10,9,14,9,4,5,10,12,6,15,5,17,14,5,5,5,17,5,14
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,9,6,5,9,17,5,8,17,4,15,3,12,16,13,7
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,5,10,6,12,15,4,11,16,16,5,16,10,18,15,4
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,5,9,7,9,7,5,8,8,17,13,5,4,15
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,19,5,12,4,17,15,8,5,10,14,5,10
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,14,5,10,5,4,4,5,5,7,7,5
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,10,4,15,7,7,4,18,11,5,14
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,5,12,13,7,4,9,5,8,4
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,5,18,8,7,7,11,9,7,7
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,5,14,4,15,9,5,8
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,18,12,5,8,3,6,4
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,4,12,11,5,16
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,5,12,8,5,10
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,9,5,10
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,7,7,16
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,5,9
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,18
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
