,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,12,9,9,12,7,8,10,11,9,11,11,10,12,11,9,11,13,12,11,12,10,11,13,12,9,12,9,9,11
advocaat,lawyer,0,0,14,7,12,11,7,6,8,11,11,11,10,11,12,10,5,14,11,13,12,12,13,14,13,11,10,12,8,11
apotheker,pharmacist,0,0,0,9,11,12,13,11,13,13,14,10,12,11,8,9,10,12,11,9,10,8,13,11,10,11,8,13,11,13
archeoloog,archaeologist,0,0,0,0,14,8,12,7,11,11,10,11,11,10,11,11,11,12,12,11,11,9,12,11,11,10,11,11,9,7
architect,architect,0,0,0,0,0,11,11,6,12,12,12,13,12,11,10,12,8,10,10,11,9,10,9,13,13,10,10,8,9,10
bakker,baker,0,0,0,0,0,0,9,11,7,7,9,11,9,13,12,10,10,8,8,10,11,13,9,9,12,15,10,12,10,1
boekhouder,accountant,0,0,0,0,0,0,0,9,9,14,11,12,11,11,12,9,12,12,8,12,12,13,11,13,15,11,11,11,11,12
brandweerman,fireman,0,0,0,0,0,0,0,0,7,11,9,12,9,10,11,13,12,10,11,11,14,11,8,11,9,8,11,9,10,9
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,12,12,8,12,10,8,9,10,11,9,9,11,10,12,11,11,10,11,13,6,9
directeur,manager,0,0,0,0,0,0,0,0,0,0,13,13,13,9,12,9,8,15,11,12,11,9,12,14,13,7,11,11,7,12
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,11,14,11,11,10,7,11,11,11,9,8,14,12,13,12,8,14,7,10
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,9,9,11,11,12,10,8,11,10,12,10,9,9,7,12
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,11,11,9,10,11,10,9,15,9,10,13,11,17,7,10
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,9,11,11,13,6,10,8,11,13,9,9,10,12
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,11,15,12,12,11,14,13,13,10,10,10,8,9
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,11,10,11,10,4,9,8,14,6,11,13,10
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,9,12,11,11,10,13,13,11,12,15
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,7,12,13,11,11,11,9,9,7
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,15,12,11,8,11,10,9,11
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,9,11,8,15,9,7,12
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,11,10,11,11,11,11
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,10,11,10,13,14
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,12,13,8,9
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7,11,10,8
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,11,9,13
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,13
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,11
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
