,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,13,9,10,9,13,10,8,10,9,7,10,10,9,9,8,8,8,8,10,10,11,9,7,9,10,9,8,10,9
advocaat,lawyer,0,0,9,8,11,9,12,9,9,12,12,14,10,9,12,6,4,14,12,13,13,8,14,14,11,6,9,11,4,7
apotheker,pharmacist,0,0,0,6,10,9,8,7,13,9,14,8,13,9,8,8,13,11,8,11,10,9,13,10,11,9,10,14,6,13
archeoloog,archaeologist,0,0,0,0,12,7,8,12,8,12,11,12,9,10,9,6,7,12,9,9,9,9,8,13,8,8,11,8,9,10
architect,architect,0,0,0,0,0,9,12,9,14,13,10,14,12,9,12,8,9,11,7,13,8,8,13,13,9,9,7,11,4,8
bakker,baker,0,0,0,0,0,0,11,12,8,7,8,7,9,14,8,11,13,6,9,8,9,8,9,6,8,12,9,12,9,14
boekhouder,accountant,0,0,0,0,0,0,0,7,7,12,10,12,8,9,12,9,10,12,7,8,9,8,12,12,14,8,8,10,8,10
brandweerman,fireman,0,0,0,0,0,0,0,0,8,8,7,4,9,9,11,12,6,8,7,6,11,10,9,8,8,9,9,8,12,6
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,7,12,8,13,9,9,7,8,10,11,8,8,10,13,12,8,12,10,14,7,9
directeur,manager,0,0,0,0,0,0,0,0,0,0,12,12,10,8,12,9,9,13,11,11,10,10,12,11,12,9,10,11,5,10
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,13,15,9,10,4,6,11,12,13,10,7,14,11,11,10,10,14,7,8
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,6,8,12,5,11,10,8,13,11,11,7,9,13,4,7
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,7,7,10,10,7,14,9,9,6,10,12,8,6
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,8,11,7,10,10,8,9,8,12,11,14,8,11
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,16,10,10,9,13,8,11,11,10,10,9,8
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,6,9,12,7,7,9,9,8,7,12,10
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,12,9,7,6,11,11,9,8,11,13
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,9,6,10,13,12,8,10,8,4,9
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,12,9,8,7,10,11,8,8
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,11,10,8,17,10,5,6
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,9,10,9,9,6,6
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,10,7,9,11,9
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,9,7,12,7,8
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,9,4,6
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,7,11
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,12
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
