,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,14,8,11,12,18,4,9,8,5,2,15,8,11,5,8,11,11,10,7,11,7,15,9,12,11,15,18,11,10
dove,duif,0,0,12,13,12,12,9,7,10,10,12,12,8,13,13,8,10,15,10,9,9,11,11,10,12,14,16,15,14,7
duck,eend,0,0,0,8,11,4,12,14,9,12,11,7,8,6,5,9,6,10,7,7,12,8,12,9,5,11,10,9,17,15
magpie,ekster,0,0,0,0,11,15,9,5,9,9,4,18,14,14,12,11,10,14,9,12,7,2,11,5,15,14,11,9,11,11
pheasant,fazant,0,0,0,0,0,11,9,17,7,16,16,13,12,9,8,3,6,11,10,7,13,6,14,11,12,12,12,15,15,12
vulture,gier,0,0,0,0,0,0,10,9,11,4,9,12,6,13,6,9,13,7,10,10,14,9,18,11,13,10,13,16,11,10
rooster,haan,0,0,0,0,0,0,0,11,14,15,10,5,12,8,11,8,9,10,8,4,7,6,9,14,10,9,8,10,5,16
turkey,kalkoen,0,0,0,0,0,0,0,0,12,18,7,12,11,10,3,9,9,9,6,7,13,7,4,7,6,10,11,6,12,15
canary,kanarie,0,0,0,0,0,0,0,0,0,7,13,12,13,9,15,14,10,6,16,7,11,8,5,13,12,10,11,8,6,10
chicken,kip,0,0,0,0,0,0,0,0,0,0,12,10,7,4,7,7,12,8,4,15,11,4,7,10,5,5,4,11,9,6
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,10,11,11,12,5,7,12,8,5,12,3,4,16,5,10,10,13,5,10
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,9,12,4,9,7,8,9,11,8,8,14,7,15,15,11,14,8,11
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,16,8,12,17,7,13,11,9,15,14,5,8,12,12,9
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,11,12,9,12,8,14,11,13,12,9,8,14,15
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,11,8,12,11,5,11,14,12,6,9,11,11,7
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,7,10,9,8,13,8,8,9,10,10,6
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,10,5,11,18,4,10,10,10,10,16,10
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,13,9,12,11,12,10,8,6,8,12
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,6,8,12,12,7,10,10,10,8
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,15,8,12,8,11,9,12,12
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10,8,10,11,12,14,11
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,4,10,7,9,11
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,11,7,18,11,15
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,9,10,8
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,10,11
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,10
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
