,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,15,14,16,16,18,15,16,12,12,17,17,15,17,14,16,12,15,13,15,13,16,14,16,14,12,17,19,16,13
dove,duif,0,0,17,15,15,16,16,16,14,18,17,15,18,19,18,17,13,12,13,15,15,11,8,16,17,6,16,17,12,17
duck,eend,0,0,0,13,18,16,16,17,15,17,13,16,16,17,16,12,17,16,16,17,18,16,18,12,16,17,13,15,19,12
magpie,ekster,0,0,0,0,15,16,9,11,18,17,16,18,18,16,18,16,13,12,17,16,11,11,15,16,18,14,16,17,13,17
pheasant,fazant,0,0,0,0,0,15,14,19,16,17,17,13,11,15,14,15,13,16,16,16,16,13,14,9,17,16,15,14,11,11
vulture,gier,0,0,0,0,0,0,9,17,14,16,16,11,12,15,13,11,17,16,13,14,17,9,17,13,16,17,13,19,16,11
rooster,haan,0,0,0,0,0,0,0,18,17,19,17,15,13,11,17,16,12,14,16,18,11,13,14,14,15,9,15,16,15,14
turkey,kalkoen,0,0,0,0,0,0,0,0,14,19,14,14,14,11,16,12,12,16,14,18,18,12,11,13,9,17,14,15,18,14
canary,kanarie,0,0,0,0,0,0,0,0,0,15,18,18,19,13,17,18,10,17,16,13,14,13,15,17,13,11,15,16,12,18
chicken,kip,0,0,0,0,0,0,0,0,0,0,16,16,15,16,18,16,17,17,11,17,14,15,12,12,16,17,15,14,18,11
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,18,18,14,19,16,16,15,16,14,15,13,12,13,14,11,18,14,14,19
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,17,12,17,16,14,14,10,15,13,16,12,15,17,13,18
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,19,14,16,15,12,11,12,12,17,15,12,16,16,14,18
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,13,17,17,15,14,13,16,15,18,11,16,15,14,18
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,16,16,13,14,10,11,17,16,11,14,17,15,17
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,17,14,9,12,14,19,16,13,16,16,15,18
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,15,18,17,19,12,16,15,15,17,17,17
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,15,12,14,10,18,11,16,16,12,15
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,11,14,11,18,14,17,16,14,16
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,12,12,14,16,9,12,16,13
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,11,12,15,11,16,18,9
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,5,15,8,15,11
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,18,16,16,16,12
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,10,15,12,14
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,18,12,16
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,12,13
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,14
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
