,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,9,4,9,14,16,8,8,2,7,7,5,5,9,4,13,5,7,3,14,3,4,9,5,6,9,14,16,8,7
dove,duif,0,0,10,6,9,3,7,10,3,16,16,12,14,16,14,6,10,11,9,4,3,3,5,12,7,4,7,10,5,10
duck,eend,0,0,0,7,9,6,9,11,3,13,12,7,5,9,7,9,6,6,4,10,12,2,8,6,4,6,6,11,12,6
magpie,ekster,0,0,0,0,6,9,8,5,4,6,16,17,13,8,13,16,4,7,8,4,2,2,4,11,13,3,4,4,2,14
pheasant,fazant,0,0,0,0,0,12,16,13,4,14,13,4,6,13,8,8,7,4,4,15,4,4,7,11,7,7,13,10,7,4
vulture,gier,0,0,0,0,0,0,8,5,5,5,3,7,4,7,10,4,3,12,9,9,6,4,7,6,6,15,12,19,6,10
rooster,haan,0,0,0,0,0,0,0,14,5,19,7,4,4,6,7,7,3,4,6,5,6,2,7,11,3,9,13,5,4,6
turkey,kalkoen,0,0,0,0,0,0,0,0,3,19,5,8,3,7,7,4,4,4,3,16,7,3,4,4,5,4,5,7,13,4
canary,kanarie,0,0,0,0,0,0,0,0,0,10,4,6,19,4,13,13,3,14,16,3,4,2,4,14,3,3,7,7,4,3
chicken,kip,0,0,0,0,0,0,0,0,0,0,6,6,7,6,8,7,9,12,9,11,7,3,4,11,4,3,10,9,4,4
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,13,13,14,3,12,11,10,5,14,3,4,6,13,13,4,14,14,3,10
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,7,11,12,5,3,7,3,5,4,3,4,8,9,4,6,7,8,13
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,14,3,5,16,3,3,2,6,17,11,2,11,4,4,13
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,13,7,10,18,3,15,3,6,6,6,13,16,5
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,8,3,5,2,5,15,11,5,7,5,7,14
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,3,5,3,4,16,9,3,8,2,3,13
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,14,2,19,5,3,16,4,8,12,4
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,7,2,3,15,16,4,10,7,5,11
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,17,16,3,2,3,4,15
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,4,3,5,13,4,4
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,3,5,16,10,6,18,4
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,3,4,7,3
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,10,10,14,4
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,6,4,11
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,11
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,3
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,13
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
