,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,4,7,7,7,16,13,6,5,4,10,11,7,5,6,6,9,6,6,8,11,3,13,6,11,6,14,13,8,9
dove,duif,0,0,15,11,14,4,8,14,8,15,10,6,10,6,14,14,12,13,12,14,7,8,10,12,7,6,12,5,5,14
duck,eend,0,0,0,6,17,4,16,15,12,15,9,7,6,5,7,8,6,12,7,14,13,8,9,9,7,7,14,6,17,6
magpie,ekster,0,0,0,0,7,12,9,12,7,14,12,18,16,14,16,15,7,8,10,6,6,4,6,13,13,7,10,5,6,7
pheasant,fazant,0,0,0,0,0,14,16,15,6,16,11,7,7,7,7,7,7,6,9,16,7,2,7,5,9,16,14,5,13,8
vulture,gier,0,0,0,0,0,0,13,12,3,5,12,12,4,4,5,3,12,12,5,11,14,5,17,8,10,12,14,12,8,11
rooster,haan,0,0,0,0,0,0,0,16,8,19,15,7,7,7,6,6,6,14,14,17,7,6,6,6,11,16,12,8,13,7
turkey,kalkoen,0,0,0,0,0,0,0,0,6,18,9,7,9,8,6,7,9,10,7,16,6,13,9,14,9,15,12,6,8,5
canary,kanarie,0,0,0,0,0,0,0,0,0,8,11,5,13,5,5,14,5,16,19,6,5,4,6,14,11,3,7,6,4,5
chicken,kip,0,0,0,0,0,0,0,0,0,0,8,6,10,7,6,7,4,15,4,15,7,11,9,13,8,14,14,5,14,8
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,13,12,7,7,12,8,12,7,6,6,4,7,12,15,9,16,14,7,4
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,15,12,15,14,4,8,7,8,9,5,13,6,15,8,11,8,5,11
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,16,6,5,13,4,4,4,8,16,14,8,11,6,9,6
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,6,6,8,5,11,11,10,13,5,4,10,6,17
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,14,12,7,7,5,6,16,8,6,9,12,8,6
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,14,6,6,4,4,16,7,5,12,12,4,7
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,6,15,10,17,12,8,13,13,9,14,15
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,11,4,10,11,14,12,14,7,8,10
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,5,16,5,4,7,11,8,6
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,13,7,15,12,6,14,9
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,4,13,4,6,14,13
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,3,12,2,4,4,7
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,14,9,11,15
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,13,12,8,6
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,14,5,12
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,14,12
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,11
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
