,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,11,18,8,2,3,5,3,14,8,7,2,6,13,3,6,9,10,14,3,15,1,5,13,14,6,6,11,4,6
dove,duif,0,0,11,5,8,5,10,9,8,4,12,4,8,19,8,11,5,9,16,11,7,9,7,10,14,1,7,14,17,9
duck,eend,0,0,0,17,5,10,8,17,7,17,10,9,7,9,7,3,4,5,4,12,13,10,6,11,2,8,4,9,17,7
magpie,ekster,0,0,0,0,16,1,15,14,11,4,8,14,11,8,14,9,7,9,12,15,6,1,16,17,8,7,8,8,12,11
pheasant,fazant,0,0,0,0,0,6,18,12,8,14,3,4,14,7,6,19,8,14,6,14,12,1,5,12,8,9,6,15,2,9
vulture,gier,0,0,0,0,0,0,13,5,12,4,14,2,3,7,6,6,8,7,12,4,6,1,11,1,9,17,1,5,4,8
rooster,haan,0,0,0,0,0,0,0,8,9,12,8,2,4,11,8,11,4,16,16,2,6,1,6,12,13,5,2,9,9,7
turkey,kalkoen,0,0,0,0,0,0,0,0,15,20,7,14,14,14,3,9,8,8,3,12,11,3,4,6,6,9,8,9,1,9
canary,kanarie,0,0,0,0,0,0,0,0,0,2,6,5,4,5,16,8,7,12,15,11,4,5,9,11,9,5,13,6,18,5
chicken,kip,0,0,0,0,0,0,0,0,0,0,19,13,7,2,8,14,9,9,1,9,4,9,5,4,2,3,5,13,3,4
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,4,1,5,4,19,5,14,3,5,4,15,9,12,4,6,7,4,1,10
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,14,5,9,6,5,9,3,17,7,14,15,9,9,12,5
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,7,3,5,12,9,6,3,9,5,1,7,7,6,14,7
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,7,10,7,7,1,11,15,9,4,3,11,6,16
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,9,3,6,9,2,6,9,9,10,4,5,6
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,9,6,8,6,5,17,12,10,12,15,11,7
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,12,18,1,7,6,4,9,17,9,13,4
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,10,5,8,9,6,2,9,13,6,1
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,1,9,15,6,6,2,11,15,6
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,12,13,8,8,7,13,17,9
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,12,5,15,3,7,6,8
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,8,14,1,12,12,15
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,9,5,8,11,11
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,14,6
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,8,13,18
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,7
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
