,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,11,1,1,1,19,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,11,1,3,1,13,19,3,3
dove,duif,0,0,1,14,1,1,1,10,4,13,7,5,12,12,12,8,1,3,8,1,1,3,1,6,1,1,1,1,1,9
duck,eend,0,0,0,1,13,1,12,15,1,12,7,1,1,1,1,1,5,1,1,1,5,13,3,3,1,3,1,4,18,1
magpie,ekster,0,0,0,0,1,1,3,4,4,1,6,14,13,3,17,15,1,1,1,1,1,1,1,6,7,1,1,1,1,15
pheasant,fazant,0,0,0,0,0,1,15,15,1,17,6,4,1,1,1,1,1,1,5,9,1,1,1,1,2,12,1,1,1,1
vulture,gier,0,0,0,0,0,0,1,1,1,1,1,14,1,1,1,1,1,1,1,6,1,1,5,1,1,11,1,1,8,1
rooster,haan,0,0,0,0,0,0,0,12,1,15,7,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,8,1,1
turkey,kalkoen,0,0,0,0,0,0,0,0,1,19,1,1,3,1,1,1,1,1,1,5,1,1,1,6,1,3,1,1,1,2
canary,kanarie,0,0,0,0,0,0,0,0,0,3,12,1,17,1,14,16,1,1,20,3,1,3,1,11,9,1,1,1,1,7
chicken,kip,0,0,0,0,0,0,0,0,0,0,6,3,1,1,3,4,1,1,1,12,13,1,1,8,1,11,3,1,6,1
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,1,3,1,1,1,1,1,12,1,2,1,1,1,7
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,5,1,1,1,1,4,1,1,1,14,1,1,1,1,1
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,18,1,1,13,1,1,1,1,15,4,1,1,1,1,6
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,7,1,1,1,12,1,1,5,1,7,1,4,4
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,12,1,1,1,1,14,10,2,9,2,1,12
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,1,1,1,18,4,1,4,1,1,9
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,12,12,19,1,1,4,14,1,12,1
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1,1,1,8,1,1,1,3,1
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,10,1,1,2,3,1,1
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,1,1,3,2,1
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,1,1,4
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,1,1,12,1
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,14,1
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,9
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,4,1,12
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
