,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,7,2,10,5,15,4,4,4,2,2,8,2,10,4,2,10,5,3,10,5,1,16,3,3,3,13,18,3,7
dove,duif,0,0,8,17,9,7,5,9,10,7,13,11,6,14,10,5,8,14,9,11,4,1,11,10,14,1,8,10,7,13
duck,eend,0,0,0,4,14,4,6,8,3,13,3,8,6,12,7,5,14,4,13,5,8,14,5,1,5,5,4,4,18,8
magpie,ekster,0,0,0,0,4,4,4,2,8,3,6,15,8,9,17,12,8,5,10,3,7,1,4,10,18,4,4,7,3,18
pheasant,fazant,0,0,0,0,0,3,12,14,4,11,3,6,2,5,4,4,4,10,7,11,7,1,10,3,7,12,8,8,4,4
vulture,gier,0,0,0,0,0,0,8,5,2,3,8,11,4,13,2,4,12,2,2,8,14,1,16,4,8,12,6,17,4,8
rooster,haan,0,0,0,0,0,0,0,14,10,19,5,4,6,10,7,6,6,12,4,15,2,1,13,4,7,7,3,8,2,4
turkey,kalkoen,0,0,0,0,0,0,0,0,6,19,4,4,8,6,3,3,7,9,2,4,10,6,4,6,6,16,4,4,8,4
canary,kanarie,0,0,0,0,0,0,0,0,0,10,9,7,16,4,10,16,5,14,20,8,2,1,2,16,8,1,4,5,4,13
chicken,kip,0,0,0,0,0,0,0,0,0,0,2,6,5,10,4,9,8,13,8,13,8,4,13,5,3,8,5,4,6,3
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,12,11,4,15,7,2,10,17,4,5,2,4,15,13,2,6,10,5,14
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,7,8,10,5,9,4,1,12,9,18,6,4,4,3,15
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,19,6,7,19,4,1,1,4,19,5,2,2,6,2,13
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15,7,4,12,10,6,18,5,7,3,8,11,12,12
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,8,12,4,4,2,6,14,14,3,3,5,3,16
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,18,3,2,1,2,19,12,1,3,4,2,10
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,18,8,12,2,4,10,9,10,8,3
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,6,4,7,8,10,7,6,5,5,13
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,16,8,4,4,3,1,9
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,4,4,7,8,7,6,9
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,8,7,2,4,11,5
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,1,2
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,16,10,12
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,7,1,9
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,9,17
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,5
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,3
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
