,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,3,3,4,5,13,6,4,3,3,3,7,4,3,5,3,5,7,3,2,5,3,7,3,6,10,6,13,4,6
dove,duif,0,0,6,10,4,6,3,6,4,7,10,11,6,10,14,6,2,5,9,11,3,2,8,7,6,2,4,6,5,13
duck,eend,0,0,0,3,4,3,4,5,5,3,3,6,4,3,7,4,2,3,7,4,3,6,6,2,2,3,3,3,13,3
magpie,ekster,0,0,0,0,3,9,3,6,5,6,6,13,12,13,13,4,6,14,6,6,7,5,7,5,8,3,5,8,2,11
pheasant,fazant,0,0,0,0,0,6,8,14,4,5,13,3,5,5,6,3,13,8,7,15,12,3,14,4,4,6,6,7,6,15
vulture,gier,0,0,0,0,0,0,5,4,5,6,3,8,4,3,8,6,3,6,3,5,5,2,11,5,6,4,5,16,2,6
rooster,haan,0,0,0,0,0,0,0,12,8,16,12,6,6,3,4,3,3,7,5,8,6,2,7,3,10,4,5,5,6,10
turkey,kalkoen,0,0,0,0,0,0,0,0,6,15,7,5,3,4,7,8,4,7,3,14,7,6,5,3,4,10,3,3,7,10
canary,kanarie,0,0,0,0,0,0,0,0,0,6,10,4,7,4,7,10,6,15,18,5,7,3,3,11,7,3,4,4,3,4
chicken,kip,0,0,0,0,0,0,0,0,0,0,8,11,6,5,4,6,4,9,3,7,7,3,4,8,6,10,7,7,10,4
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,3,6,11,7,7,11,10,10,8,11,3,6,4,5,6,14,4,7,10
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,4,11,12,6,4,6,4,6,5,8,4,4,13,8,11
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,15,3,3,10,4,3,3,3,14,5,5,3,6,4,6
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4,3,7,3,5,4,4,4,5,5,5,3,6,17
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4,10,6,3,2,5,11,4,2,6,5,5,13
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,3,4,4,13,3,10,4,9,2,3
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,11,15,3,14,2,6,10,3,3,5,5
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,11,3,6,3,9,6,5,7,4,6
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,6,16,9,2,6,3,3,3
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,4,6,15,6,6,6,6
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,7,7,2,6,10,3
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,2,3,2,7,6
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,9,4,10
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,5,3,2,3
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,4,4
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,7
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
