,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,8,7,10,8,13,8,7,8,5,10,9,7,9,9,9,9,6,7,10,7,8,8,8,8,10,7,12,6,8
dove,duif,0,0,11,9,8,7,8,7,10,8,9,7,8,10,15,10,10,8,8,10,6,7,7,11,9,7,8,9,10,8
duck,eend,0,0,0,8,7,8,9,9,8,7,9,8,8,10,8,9,7,11,8,8,12,9,8,7,8,7,10,7,11,6
magpie,ekster,0,0,0,0,12,7,9,7,13,9,17,12,9,12,12,10,8,8,8,7,10,7,9,9,12,7,7,8,6,12
pheasant,fazant,0,0,0,0,0,7,6,13,9,9,9,11,9,8,8,8,10,8,8,11,8,8,10,7,9,6,7,6,8,8
vulture,gier,0,0,0,0,0,0,10,8,8,9,9,10,8,8,7,8,9,7,6,8,6,5,9,6,7,10,7,10,9,10
rooster,haan,0,0,0,0,0,0,0,6,9,18,6,8,10,10,9,7,6,7,8,7,5,8,8,10,10,7,8,9,6,9
turkey,kalkoen,0,0,0,0,0,0,0,0,8,9,6,10,9,7,12,7,11,6,7,12,11,8,6,7,8,11,9,9,10,8
canary,kanarie,0,0,0,0,0,0,0,0,0,7,9,9,10,7,10,10,7,11,12,7,9,8,8,12,11,8,9,8,8,9
chicken,kip,0,0,0,0,0,0,0,0,0,0,8,10,8,9,8,11,7,9,9,6,7,5,8,8,9,10,7,6,10,10
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,13,11,10,12,9,9,10,9,9,8,7,9,8,12,6,14,11,8,15
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,8,7,8,9,8,7,6,9,9,12,7,8,11,8,10
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,9,9,11,9,7,10,6,10,11,8,11,11,8,11
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,8,8,10,11,8,7,7,8,10,8,8,10,14
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,8,9,6,6,8,7,10,12,6,9,8,7,12
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,7,10,8,10,11,9,7,7,7,8,10
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,8,9,15,9,6,7,8,10,8,9
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,6,10,7,13,7,8,7,7,8
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,9,11,10,8,10,9,10,10
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,9,7,6,7,8,8,8,9
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,8,8,7,7,8,9,8
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,5,9,8,7,6
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,7,10,10,14
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,7,7,10
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,10,10
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,6
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
