,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,10,10,14,9,14,12,16,9,11,11,12,13,11,9,14,10,14,11,10,14,10,12,10,10,11,14,15,10,11
dove,duif,0,0,14,14,10,9,10,12,14,12,12,13,12,12,11,12,9,11,11,12,10,9,13,16,17,9,10,14,12,12
duck,eend,0,0,0,10,13,10,17,16,11,13,11,10,11,12,9,11,9,12,9,11,10,9,11,10,9,9,12,10,15,10
magpie,ekster,0,0,0,0,11,10,9,10,11,12,10,11,12,11,13,14,9,10,11,13,16,11,14,12,16,10,12,13,11,19
pheasant,fazant,0,0,0,0,0,14,12,11,12,10,11,11,9,9,11,10,11,11,9,10,10,10,14,11,10,11,10,10,11,9
vulture,gier,0,0,0,0,0,0,10,13,12,9,15,15,9,18,9,9,10,12,9,10,10,11,11,10,9,12,12,17,9,9
rooster,haan,0,0,0,0,0,0,0,11,11,19,11,11,11,10,10,11,9,12,10,13,10,9,10,9,13,10,11,9,9,9
turkey,kalkoen,0,0,0,0,0,0,0,0,9,14,12,10,9,10,12,16,12,10,10,12,15,11,11,11,9,12,12,11,11,10
canary,kanarie,0,0,0,0,0,0,0,0,0,12,12,10,10,9,16,16,9,17,14,11,11,15,11,12,12,9,11,9,9,9
chicken,kip,0,0,0,0,0,0,0,0,0,0,15,9,9,14,11,11,10,10,15,10,10,11,11,11,12,11,10,18,11,9
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,11,10,10,13,10,13,11,11,10,10,11,11,14,13,10,11,12,10,12
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,10,11,11,10,10,9,15,11,10,11,12,11,16,9,10
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,16,9,13,12,13,14,9,9,18,11,9,9,11,9,10
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,12,12,11,10,14,10,10,11,10,11,9,10,11,9
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,10,19,10,10,9,10,13,10,9,10,9,11,13
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,11,8,10,18,14,9,9,11,10,10,11
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,9,19,13,17,10,9,10,9,10,12,11
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,10,11,11,10,11,11,9,12,9,10
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,13,14,18,11,9,12,9,9,11
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,10,11,12,10,11,11,10
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,9,10,11,12,9,15,8
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,9,12,10,10,10,18
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,10,10,11
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,12,9,9,16
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,10,16
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,9
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
