,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,2,3,7,3,15,3,3,3,5,2,7,5,5,6,6,11,2,3,3,2,1,15,1,14,3,5,18,2,5
dove,duif,0,0,8,3,3,4,3,6,6,15,5,3,15,18,3,3,10,8,6,6,3,1,4,12,6,3,8,9,8,8
duck,eend,0,0,0,3,14,1,6,15,5,13,3,3,6,5,1,5,2,1,9,4,4,14,5,8,2,2,3,5,16,2
magpie,ekster,0,0,0,0,5,15,9,1,5,4,3,17,5,8,12,14,3,14,9,2,1,10,15,1,14,1,14,10,1,15
pheasant,fazant,0,0,0,0,0,3,13,12,2,10,3,5,2,4,2,2,3,2,5,8,1,2,3,4,7,8,6,8,8,5
vulture,gier,0,0,0,0,0,0,2,1,2,3,3,16,6,7,5,6,2,5,5,2,3,2,15,2,15,5,6,16,2,12
rooster,haan,0,0,0,0,0,0,0,11,2,16,7,8,1,4,1,2,1,3,3,17,2,1,3,3,1,1,10,2,6,2
turkey,kalkoen,0,0,0,0,0,0,0,0,5,14,1,5,5,2,5,3,9,2,2,14,12,4,3,2,2,13,2,3,18,4
canary,kanarie,0,0,0,0,0,0,0,0,0,8,17,2,3,5,6,13,1,15,20,12,3,2,3,15,6,3,3,3,2,2
chicken,kip,0,0,0,0,0,0,0,0,0,0,8,1,9,4,5,2,1,1,5,5,9,4,5,5,4,3,9,7,10,5
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,2,6,4,8,5,2,8,9,3,3,5,3,9,5,3,13,4,2,12
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,7,15,9,6,3,3,4,4,3,14,14,1,15,3,9,12,2,7
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15,3,4,5,2,6,3,5,11,12,3,5,3,3,16
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,12,3,6,2,11,13,9,3,8,2,3,8,6,14
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,3,14,3,2,7,8,6,11,3,5,10,4,15
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,3,2,3,8,14,11,1,6,3,3,9
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,15,3,8,1,2,6,1,1,13,6
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,3,3,3,8,4,2,6,4,5,2
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,15,6,1,3,5,4,3
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,6,2,3,1,6,14,3
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,2,5,1,3,1,16,5
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,7,1,6,3
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,11,1,14,4,9
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,6,3,2
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,1,13
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
